sample_id,accident_class,split,window_s,sample_count,first_sample_s,last_sample_s,sample_points_s
LLB_42,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_43,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_44,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_45,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_46,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_47,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_48,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_49,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_5,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_50,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_51,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_52,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_53,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_54,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_55,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_56,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_57,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_58,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_59,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_6,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_60,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_61,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_62,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_63,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_64,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_65,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_66,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_67,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_68,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_69,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_7,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_70,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_71,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_72,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_73,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_74,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_75,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_76,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_77,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_78,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_79,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_8,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_80,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_81,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_82,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_83,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_84,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_85,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_86,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_87,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_88,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_89,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_9,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_90,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_91,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_92,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_93,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_94,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_95,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_96,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_97,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_98,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_99,LLB,train,30,3,10.0,30.0,"10,20,30"
LOCAC_1,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_10,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_100,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_11,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_12,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_13,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_14,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_15,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_16,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_17,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_18,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_19,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_2,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_20,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_21,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_22,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_23,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_24,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_25,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_26,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_27,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_28,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_29,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_3,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_30,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_31,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_32,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_33,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_34,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_35,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_36,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_37,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_38,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_39,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_4,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_40,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_41,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_42,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_43,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_44,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_45,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_46,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_47,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_48,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_49,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_5,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_50,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_51,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_52,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_53,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_54,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_55,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_56,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_57,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_58,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_59,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_6,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_60,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_61,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_62,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_63,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_64,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_65,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_66,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_67,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_68,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_69,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_7,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_70,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_71,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_72,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_73,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_74,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_75,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_76,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_77,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_78,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_79,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_8,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_80,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_81,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_82,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_83,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_84,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_85,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_86,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_87,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_88,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_89,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_9,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_90,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_91,LOCAC,test,30,3,10.0,30.0,"10,20,30"
LOCAC_92,LOCAC,validation,30,3,10.0,30.0,"10,20,30"
LOCAC_93,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_94,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_95,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_96,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_97,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_98,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCAC_99,LOCAC,train,30,3,10.0,30.0,"10,20,30"
LOCA_1,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_10,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_100,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_11,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_12,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_13,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_14,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_15,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_16,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_17,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_18,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_19,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_2,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_20,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_21,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_22,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_23,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_24,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_25,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_26,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_27,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_28,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_29,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_3,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_30,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_31,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_32,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_33,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_34,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_35,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_36,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_37,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_38,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_39,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_4,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_40,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_41,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_42,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_43,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_44,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_45,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_46,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_47,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_48,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_49,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_5,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_50,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_51,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_52,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_53,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_54,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_55,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_56,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_57,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_58,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_59,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_6,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_60,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_61,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_62,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_63,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_64,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_65,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_66,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_67,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_68,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_69,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_7,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_70,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_71,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_72,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_73,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_74,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_75,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_76,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_77,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_78,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_79,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_8,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_80,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_81,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_82,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_83,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_84,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_85,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_86,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_87,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_88,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_89,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_9,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_90,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_91,LOCA,test,30,3,10.0,30.0,"10,20,30"
LOCA_92,LOCA,validation,30,3,10.0,30.0,"10,20,30"
LOCA_93,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_94,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_95,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_96,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_97,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_98,LOCA,train,30,3,10.0,30.0,"10,20,30"
LOCA_99,LOCA,train,30,3,10.0,30.0,"10,20,30"
LR_1,LR,test,30,3,10.0,30.0,"10,20,30"
LR_10,LR,train,30,3,10.0,30.0,"10,20,30"
LR_11,LR,test,30,3,10.0,30.0,"10,20,30"
LR_12,LR,validation,30,3,10.0,30.0,"10,20,30"
LR_13,LR,train,30,3,10.0,30.0,"10,20,30"
LR_14,LR,train,30,3,10.0,30.0,"10,20,30"
LR_15,LR,train,30,3,10.0,30.0,"10,20,30"
LR_16,LR,train,30,3,10.0,30.0,"10,20,30"
LR_17,LR,train,30,3,10.0,30.0,"10,20,30"
LR_18,LR,train,30,3,10.0,30.0,"10,20,30"
LR_19,LR,train,30,3,10.0,30.0,"10,20,30"
LR_2,LR,validation,30,3,10.0,30.0,"10,20,30"
LR_20,LR,train,30,3,10.0,30.0,"10,20,30"
LR_21,LR,test,30,3,10.0,30.0,"10,20,30"
