split_type,split_id,sample_id,accident_class,test_severity,nearest_train_severity,nearest_severity_gap
random,seed_20260921,LR_80,LR,80.0,81.0,1.0
random,seed_20260921,LOCA_48,LOCA,48.0,49.0,1.0
random,seed_20260921,FLB_8,FLB,8.0,7.0,1.0
random,seed_20260921,FLB_60,FLB,60.0,59.0,1.0
random,seed_20260921,RI_-35,RI,-35.0,-32.0,3.0
random,seed_20260921,LOCA_69,LOCA,69.0,68.0,1.0
random,seed_20260921,LOCAC_27,LOCAC,27.0,28.0,1.0
random,seed_20260921,FLB_83,FLB,83.0,82.0,1.0
random,seed_20260921,SLBIC_63,SLBIC,63.0,62.0,1.0
random,seed_20260921,LOCAC_25,LOCAC,25.0,23.0,2.0
random,seed_20260921,FLB_63,FLB,63.0,65.0,2.0
random,seed_20260921,LOCA_46,LOCA,46.0,45.0,1.0
random,seed_20260921,SGBTR_91,SGBTR,91.0,90.0,1.0
random,seed_20260921,SLBIC_74,SLBIC,74.0,75.0,1.0
random,seed_20260921,LOCAC_31,LOCAC,31.0,32.0,1.0
random,seed_20260921,SLBIC_44,SLBIC,44.0,45.0,1.0
random,seed_20260921,SGBTR_81,SGBTR,81.0,82.0,1.0
random,seed_20260921,FLB_38,FLB,38.0,37.0,1.0
random,seed_20260921,LOCA_41,LOCA,41.0,38.0,3.0
random,seed_20260921,SGBTR_109,SGBTR,109.0,108.0,1.0
random,seed_20260921,SGBTR_65,SGBTR,65.0,64.0,1.0
random,seed_20260921,LOCA_16,LOCA,16.0,15.0,1.0
random,seed_20260921,LOCA_73,LOCA,73.0,74.0,1.0
random,seed_20260921,SGATR_76,SGATR,76.0,75.0,1.0
random,seed_20260921,SGATR_97,SGATR,97.0,98.0,1.0
random,seed_20260921,LR_79,LR,79.0,81.0,2.0
random,seed_20260921,FLB_81,FLB,81.0,82.0,1.0
random,seed_20260921,SLBIC_22,SLBIC,22.0,23.0,1.0
random,seed_20260921,SGATR_77,SGATR,77.0,75.0,2.0
random,seed_20260921,SGBTR_75,SGBTR,75.0,76.0,1.0
random,seed_20260921,RI_-33,RI,-33.0,-32.0,1.0
random,seed_20260921,LOCAC_9,LOCAC,9.0,10.0,1.0
random,seed_20260921,LOCA_70,LOCA,70.0,71.0,1.0
random,seed_20260921,RI_-29,RI,-29.0,-30.0,1.0
random,seed_20260921,SGATR_67,SGATR,67.0,66.0,1.0
random,seed_20260921,FLB_66,FLB,66.0,65.0,1.0
random,seed_20260921,SLBIC_31,SLBIC,31.0,30.0,1.0
random,seed_20260921,RI_-34,RI,-34.0,-32.0,2.0
random,seed_20260921,SLBIC_55,SLBIC,55.0,54.0,1.0
random,seed_20260921,SLBIC_35,SLBIC,35.0,36.0,1.0
random,seed_20260921,FLB_25,FLB,25.0,24.0,1.0
random,seed_20260921,SLBIC_90,SLBIC,90.0,88.0,2.0
random,seed_20260921,RI_-4,RI,-4.0,-2.0,2.0
random,seed_20260921,RI_-8,RI,-8.0,-9.0,1.0
random,seed_20260921,LR_97,LR,97.0,96.0,1.0
random,seed_20260921,LOCA_23,LOCA,23.0,24.0,1.0
random,seed_20260921,FLB_85,FLB,85.0,86.0,1.0
random,seed_20260921,SLBIC_57,SLBIC,57.0,58.0,1.0
random,seed_20260921,FLB_36,FLB,36.0,35.0,1.0
random,seed_20260921,FLB_92,FLB,92.0,93.0,1.0
random,seed_20261930,RI_-3,RI,-3.0,-4.0,1.0
random,seed_20261930,SLBIC_75,SLBIC,75.0,74.0,1.0
random,seed_20261930,SLBIC_91,SLBIC,91.0,89.0,2.0
random,seed_20261930,LOCA_63,LOCA,63.0,65.0,2.0
random,seed_20261930,SGBTR_90,SGBTR,90.0,91.0,1.0
random,seed_20261930,RI_-6,RI,-6.0,-5.0,1.0
random,seed_20261930,LR_93,LR,93.0,95.0,2.0
random,seed_20261930,RI_-33,RI,-33.0,-30.0,3.0
random,seed_20261930,LOCA_59,LOCA,59.0,58.0,1.0
random,seed_20261930,FLB_30,FLB,30.0,31.0,1.0
random,seed_20261930,LOCA_50,LOCA,50.0,49.0,1.0
random,seed_20261930,FLB_5,FLB,5.0,4.0,1.0
random,seed_20261930,FLB_17,FLB,17.0,16.0,1.0
random,seed_20261930,FLB_42,FLB,42.0,41.0,1.0
random,seed_20261930,LOCA_47,LOCA,47.0,46.0,1.0
random,seed_20261930,SLBIC_39,SLBIC,39.0,41.0,2.0
random,seed_20261930,LOCAC_64,LOCAC,64.0,65.0,1.0
random,seed_20261930,SLBIC_62,SLBIC,62.0,63.0,1.0
random,seed_20261930,SLBIC_55,SLBIC,55.0,54.0,1.0
random,seed_20261930,SGATR_99,SGATR,99.0,95.0,4.0
random,seed_20261930,LOCA_38,LOCA,38.0,40.0,2.0
random,seed_20261930,FLB_15,FLB,15.0,14.0,1.0
random,seed_20261930,LOCA_37,LOCA,37.0,36.0,1.0
random,seed_20261930,LOCA_33,LOCA,33.0,32.0,1.0
random,seed_20261930,LOCA_51,LOCA,51.0,49.0,2.0
random,seed_20261930,FLB_33,FLB,33.0,32.0,1.0
random,seed_20261930,LOCAC_11,LOCAC,11.0,12.0,1.0
random,seed_20261930,LR_85,LR,85.0,84.0,1.0
random,seed_20261930,SLBIC_86,SLBIC,86.0,85.0,1.0
random,seed_20261930,SGBTR_100,SGBTR,100.0,99.0,1.0
random,seed_20261930,FLB_9,FLB,9.0,8.0,1.0
random,seed_20261930,LOCAC_54,LOCAC,54.0,55.0,1.0
random,seed_20261930,LOCA_42,LOCA,42.0,41.0,1.0
random,seed_20261930,LOCAC_22,LOCAC,22.0,23.0,1.0
random,seed_20261930,SGBTR_102,SGBTR,102.0,101.0,1.0
random,seed_20261930,LR_99,LR,99.0,98.0,1.0
random,seed_20261930,FLB_76,FLB,76.0,75.0,1.0
random,seed_20261930,SGBTR_76,SGBTR,76.0,77.0,1.0
random,seed_20261930,RI_-14,RI,-14.0,-13.0,1.0
random,seed_20261930,FLB_35,FLB,35.0,37.0,2.0
random,seed_20261930,LOCA_35,LOCA,35.0,36.0,1.0
random,seed_20261930,SLBIC_90,SLBIC,90.0,89.0,1.0
random,seed_20261930,SGATR_100,SGATR,100.0,95.0,5.0
random,seed_20261930,LOCAC_36,LOCAC,36.0,37.0,1.0
random,seed_20261930,RI_-10,RI,-10.0,-11.0,1.0
random,seed_20261930,SGBTR_58,SGBTR,58.0,59.0,1.0
random,seed_20261930,LOCA_9,LOCA,9.0,10.0,1.0
random,seed_20261930,RI_-31,RI,-31.0,-30.0,1.0
random,seed_20261930,LOCA_39,LOCA,39.0,40.0,1.0
random,seed_20261930,LOCAC_13,LOCAC,13.0,14.0,1.0
random,seed_20261930,SGATR_62,SGATR,62.0,61.0,1.0
random,seed_20261930,SGATR_60,SGATR,60.0,61.0,1.0
random,seed_20261930,LR_73,LR,73.0,72.0,1.0
random,seed_20261930,LOCAC_17,LOCAC,17.0,15.0,2.0
random,seed_20261930,SGATR_88,SGATR,88.0,87.0,1.0
random,seed_20261930,LOCA_1,LOCA,1.0,2.0,1.0
random,seed_20261930,SLBIC_35,SLBIC,35.0,34.0,1.0
random,seed_20261930,SLBIC_53,SLBIC,53.0,52.0,1.0
random,seed_20261930,SLBIC_78,SLBIC,78.0,77.0,1.0
random,seed_20261930,FLB_36,FLB,36.0,37.0,1.0
random,seed_20261930,LOCA_3,LOCA,3.0,2.0,1.0
random,seed_20261930,SLBIC_96,SLBIC,96.0,97.0,1.0
random,seed_20261930,SGBTR_105,SGBTR,105.0,104.0,1.0
random,seed_20261930,FLB_44,FLB,44.0,43.0,1.0
random,seed_20261930,SLBIC_84,SLBIC,84.0,85.0,1.0
random,seed_20261930,SGBTR_66,SGBTR,66.0,65.0,1.0
random,seed_20261930,SLBIC_40,SLBIC,40.0,41.0,1.0
random,seed_20261930,SLBIC_31,SLBIC,31.0,30.0,1.0
random,seed_20261930,SLBIC_73,SLBIC,73.0,74.0,1.0
random,seed_20261930,FLB_78,FLB,78.0,79.0,1.0
random,seed_20261930,SLBIC_88,SLBIC,88.0,89.0,1.0
random,seed_20261930,LR_89,LR,89.0,90.0,1.0
random,seed_20261930,FLB_13,FLB,13.0,14.0,1.0
random,seed_20261930,SGBTR_84,SGBTR,84.0,85.0,1.0
random,seed_20261930,LOCAC_74,LOCAC,74.0,73.0,1.0
random,seed_20261930,FLB_49,FLB,49.0,50.0,1.0
random,seed_20261930,SLBIC_37,SLBIC,37.0,36.0,1.0
random,seed_20261930,FLB_97,FLB,97.0,98.0,1.0
random,seed_20261930,SGBTR_81,SGBTR,81.0,80.0,1.0
random,seed_20261930,LOCA_64,LOCA,64.0,65.0,1.0
random,seed_20261930,LOCAC_10,LOCAC,10.0,12.0,2.0
random,seed_20261930,FLB_20,FLB,20.0,19.0,1.0
random,seed_20261930,SGATR_96,SGATR,96.0,95.0,1.0
random,seed_20261930,LOCAC_3,LOCAC,3.0,2.0,1.0
random,seed_20261930,FLB_56,FLB,56.0,55.0,1.0
random,seed_20261930,LOCAC_46,LOCAC,46.0,47.0,1.0
random,seed_20261930,SGATR_84,SGATR,84.0,83.0,1.0
random,seed_20261930,FLB_23,FLB,23.0,24.0,1.0
random,seed_20261930,LOCAC_26,LOCAC,26.0,27.0,1.0
random,seed_20261930,SGBTR_57,SGBTR,57.0,59.0,2.0
random,seed_20261930,LOCAC_20,LOCAC,20.0,19.0,1.0
random,seed_20261930,SGATR_80,SGATR,80.0,79.0,1.0
random,seed_20261930,SGBTR_107,SGBTR,107.0,108.0,1.0
random,seed_20261930,LOCAC_7,LOCAC,7.0,2.0,5.0
random,seed_20261930,LOCAC_16,LOCAC,16.0,15.0,1.0
random,seed_20261930,FLB_68,FLB,68.0,69.0,1.0
random,seed_20261930,SLBIC_14,SLBIC,14.0,15.0,1.0
random,seed_20261930,LOCAC_6,LOCAC,6.0,2.0,4.0
random,seed_20261930,FLB_6,FLB,6.0,4.0,2.0
random,seed_20261930,RI_-15,RI,-15.0,-16.0,1.0
random,seed_20261930,SGATR_59,SGATR,59.0,58.0,1.0
random,seed_20262939,LOCAC_61,LOCAC,61.0,62.0,1.0
random,seed_20262939,LR_96,LR,96.0,97.0,1.0
random,seed_20262939,FLB_85,FLB,85.0,87.0,2.0
random,seed_20262939,SGATR_61,SGATR,61.0,62.0,1.0
random,seed_20262939,LOCAC_41,LOCAC,41.0,42.0,1.0
random,seed_20262939,SLBIC_14,SLBIC,14.0,15.0,1.0
random,seed_20262939,LOCAC_44,LOCAC,44.0,45.0,1.0
random,seed_20262939,LOCA_66,LOCA,66.0,65.0,1.0
random,seed_20262939,LOCAC_26,LOCAC,26.0,25.0,1.0
random,seed_20262939,SGATR_79,SGATR,79.0,78.0,1.0
random,seed_20262939,RI_-21,RI,-21.0,-20.0,1.0
random,seed_20262939,FLB_56,FLB,56.0,58.0,2.0
random,seed_20262939,LOCA_37,LOCA,37.0,38.0,1.0
random,seed_20262939,LOCA_32,LOCA,32.0,33.0,1.0
random,seed_20262939,LOCAC_11,LOCAC,11.0,10.0,1.0
random,seed_20262939,LOCAC_21,LOCAC,21.0,22.0,1.0
random,seed_20262939,RI_-16,RI,-16.0,-15.0,1.0
random,seed_20262939,LOCAC_27,LOCAC,27.0,28.0,1.0
random,seed_20262939,SGATR_93,SGATR,93.0,94.0,1.0
random,seed_20262939,SLBIC_47,SLBIC,47.0,48.0,1.0
random,seed_20262939,LR_78,LR,78.0,79.0,1.0
random,seed_20262939,SLBIC_28,SLBIC,28.0,27.0,1.0
random,seed_20262939,LOCAC_32,LOCAC,32.0,33.0,1.0
random,seed_20262939,SLBIC_75,SLBIC,75.0,76.0,1.0
random,seed_20262939,SLBIC_18,SLBIC,18.0,17.0,1.0
random,seed_20262939,RI_-14,RI,-14.0,-15.0,1.0
random,seed_20262939,SLBIC_87,SLBIC,87.0,88.0,1.0
random,seed_20262939,SGATR_83,SGATR,83.0,84.0,1.0
random,seed_20262939,FLB_10,FLB,10.0,11.0,1.0
random,seed_20262939,SGATR_85,SGATR,85.0,84.0,1.0
random,seed_20262939,SGBTR_70,SGBTR,70.0,69.0,1.0
random,seed_20262939,FLB_18,FLB,18.0,20.0,2.0
random,seed_20262939,SLBIC_54,SLBIC,54.0,53.0,1.0
random,seed_20262939,LR_86,LR,86.0,85.0,1.0
random,seed_20262939,SLBIC_46,SLBIC,46.0,45.0,1.0
random,seed_20262939,LOCA_24,LOCA,24.0,25.0,1.0
random,seed_20262939,SGBTR_89,SGBTR,89.0,90.0,1.0
random,seed_20262939,SLBIC_55,SLBIC,55.0,53.0,2.0
random,seed_20262939,LOCAC_29,LOCAC,29.0,30.0,1.0
random,seed_20262939,LOCA_28,LOCA,28.0,27.0,1.0
random,seed_20262939,SLBIC_64,SLBIC,64.0,65.0,1.0
random,seed_20262939,SLBIC_52,SLBIC,52.0,53.0,1.0
random,seed_20262939,FLB_78,FLB,78.0,79.0,1.0
random,seed_20262939,LOCAC_34,LOCAC,34.0,33.0,1.0
random,seed_20262939,SGBTR_75,SGBTR,75.0,74.0,1.0
random,seed_20262939,FLB_6,FLB,6.0,7.0,1.0
random,seed_20262939,LOCA_3,LOCA,3.0,4.0,1.0
random,seed_20262939,FLB_71,FLB,71.0,73.0,2.0
random,seed_20262939,LOCAC_6,LOCAC,6.0,5.0,1.0
random,seed_20262939,SGATR_66,SGATR,66.0,65.0,1.0
random,seed_20262939,SLBIC_96,SLBIC,96.0,97.0,1.0
random,seed_20262939,SGATR_100,SGATR,100.0,99.0,1.0
random,seed_20262939,LR_83,LR,83.0,82.0,1.0
random,seed_20262939,LOCA_70,LOCA,70.0,71.0,1.0
random,seed_20262939,LOCA_69,LOCA,69.0,71.0,2.0
random,seed_20262939,SLBIC_100,SLBIC,100.0,99.0,1.0
random,seed_20262939,LOCA_2,LOCA,2.0,1.0,1.0
random,seed_20262939,SGBTR_81,SGBTR,81.0,82.0,1.0
random,seed_20262939,SLBIC_29,SLBIC,29.0,30.0,1.0
random,seed_20262939,FLB_90,FLB,90.0,89.0,1.0
random,seed_20262939,FLB_55,FLB,55.0,53.0,2.0
random,seed_20262939,SGBTR_59,SGBTR,59.0,58.0,1.0
random,seed_20262939,FLB_5,FLB,5.0,7.0,2.0
random,seed_20262939,RI_-29,RI,-29.0,-27.0,2.0
random,seed_20262939,LOCA_13,LOCA,13.0,12.0,1.0
random,seed_20262939,FLB_100,FLB,100.0,97.0,3.0
random,seed_20262939,LOCA_9,LOCA,9.0,10.0,1.0
random,seed_20262939,LOCAC_65,LOCAC,65.0,64.0,1.0
random,seed_20262939,SGBTR_77,SGBTR,77.0,78.0,1.0
random,seed_20262939,FLB_19,FLB,19.0,20.0,1.0
random,seed_20262939,LOCAC_36,LOCAC,36.0,38.0,2.0
random,seed_20262939,FLB_62,FLB,62.0,64.0,2.0
random,seed_20262939,SGBTR_76,SGBTR,76.0,74.0,2.0
random,seed_20262939,FLB_14,FLB,14.0,15.0,1.0
random,seed_20262939,LOCAC_15,LOCAC,15.0,18.0,3.0
random,seed_20262939,LR_73,LR,73.0,71.0,2.0
random,seed_20262939,FLB_96,FLB,96.0,95.0,1.0
random,seed_20262939,SLBIC_23,SLBIC,23.0,22.0,1.0
random,seed_20262939,LOCA_5,LOCA,5.0,4.0,1.0
random,seed_20262939,LOCA_47,LOCA,47.0,48.0,1.0
random,seed_20262939,FLB_27,FLB,27.0,26.0,1.0
random,seed_20262939,FLB_72,FLB,72.0,73.0,1.0
random,seed_20262939,SGBTR_62,SGBTR,62.0,63.0,1.0
random,seed_20262939,SLBIC_42,SLBIC,42.0,41.0,1.0
random,seed_20262939,SGBTR_79,SGBTR,79.0,80.0,1.0
random,seed_20262939,RI_-8,RI,-8.0,-7.0,1.0
random,seed_20262939,LOCAC_75,LOCAC,75.0,76.0,1.0
random,seed_20262939,LOCA_76,LOCA,76.0,77.0,1.0
random,seed_20262939,SGBTR_96,SGBTR,96.0,97.0,1.0
random,seed_20262939,FLB_50,FLB,50.0,49.0,1.0
random,seed_20262939,SLBIC_95,SLBIC,95.0,94.0,1.0
random,seed_20262939,SGATR_77,SGATR,77.0,78.0,1.0
random,seed_20262939,SGBTR_86,SGBTR,86.0,87.0,1.0
random,seed_20262939,LOCAC_2,LOCAC,2.0,3.0,1.0
random,seed_20262939,SLBIC_74,SLBIC,74.0,73.0,1.0
random,seed_20262939,FLB_82,FLB,82.0,81.0,1.0
random,seed_20262939,RI_-30,RI,-30.0,-31.0,1.0
random,seed_20262939,SGATR_95,SGATR,95.0,94.0,1.0
random,seed_20262939,RI_-3,RI,-3.0,-2.0,1.0
random,seed_20262939,LOCA_67,LOCA,67.0,65.0,2.0
random,seed_20262939,FLB_54,FLB,54.0,53.0,1.0
random,seed_20263948,LOCAC_41,LOCAC,41.0,40.0,1.0
random,seed_20263948,RI_-5,RI,-5.0,-6.0,1.0
random,seed_20263948,SLBIC_70,SLBIC,70.0,71.0,1.0
random,seed_20263948,LOCAC_19,LOCAC,19.0,16.0,3.0
random,seed_20263948,LOCA_20,LOCA,20.0,21.0,1.0
random,seed_20263948,LOCA_77,LOCA,77.0,75.0,2.0
random,seed_20263948,SLBIC_95,SLBIC,95.0,94.0,1.0
random,seed_20263948,FLB_82,FLB,82.0,81.0,1.0
random,seed_20263948,SLBIC_52,SLBIC,52.0,54.0,2.0
random,seed_20263948,LR_74,LR,74.0,73.0,1.0
random,seed_20263948,LOCAC_48,LOCAC,48.0,49.0,1.0
random,seed_20263948,SLBIC_33,SLBIC,33.0,32.0,1.0
random,seed_20263948,FLB_36,FLB,36.0,38.0,2.0
random,seed_20263948,SLBIC_16,SLBIC,16.0,15.0,1.0
random,seed_20263948,LOCAC_20,LOCAC,20.0,23.0,3.0
random,seed_20263948,FLB_57,FLB,57.0,56.0,1.0
random,seed_20263948,SGATR_58,SGATR,58.0,59.0,1.0
random,seed_20263948,SLBIC_100,SLBIC,100.0,98.0,2.0
random,seed_20263948,FLB_71,FLB,71.0,70.0,1.0
random,seed_20263948,FLB_21,FLB,21.0,20.0,1.0
random,seed_20263948,LOCA_52,LOCA,52.0,53.0,1.0
random,seed_20263948,SGBTR_86,SGBTR,86.0,85.0,1.0
random,seed_20263948,SGBTR_59,SGBTR,59.0,58.0,1.0
random,seed_20263948,FLB_67,FLB,67.0,68.0,1.0
random,seed_20263948,SGBTR_96,SGBTR,96.0,95.0,1.0
random,seed_20263948,RI_-31,RI,-31.0,-32.0,1.0
random,seed_20263948,LOCA_24,LOCA,24.0,25.0,1.0
random,seed_20263948,RI_-29,RI,-29.0,-28.0,1.0
random,seed_20263948,LR_94,LR,94.0,95.0,1.0
random,seed_20263948,SGBTR_104,SGBTR,104.0,102.0,2.0
random,seed_20263948,LOCA_76,LOCA,76.0,75.0,1.0
random,seed_20263948,SGBTR_68,SGBTR,68.0,67.0,1.0
random,seed_20263948,LOCA_8,LOCA,8.0,9.0,1.0
random,seed_20263948,LOCA_54,LOCA,54.0,53.0,1.0
random,seed_20263948,SLBIC_76,SLBIC,76.0,77.0,1.0
random,seed_20263948,LOCA_59,LOCA,59.0,58.0,1.0
random,seed_20263948,LOCA_28,LOCA,28.0,29.0,1.0
random,seed_20263948,SLBIC_63,SLBIC,63.0,62.0,1.0
random,seed_20263948,FLB_8,FLB,8.0,9.0,1.0
random,seed_20263948,LOCAC_46,LOCAC,46.0,45.0,1.0
random,seed_20263948,SLBIC_79,SLBIC,79.0,80.0,1.0
random,seed_20263948,FLB_18,FLB,18.0,17.0,1.0
random,seed_20263948,FLB_96,FLB,96.0,97.0,1.0
random,seed_20263948,LOCAC_26,LOCAC,26.0,24.0,2.0
random,seed_20263948,SLBIC_58,SLBIC,58.0,59.0,1.0
random,seed_20263948,SLBIC_24,SLBIC,24.0,23.0,1.0
random,seed_20263948,LOCA_64,LOCA,64.0,66.0,2.0
random,seed_20263948,LOCAC_74,LOCAC,74.0,72.0,2.0
random,seed_20263948,LOCAC_18,LOCAC,18.0,16.0,2.0
random,seed_20263948,RI_-14,RI,-14.0,-13.0,1.0
random,seed_20263948,RI_-25,RI,-25.0,-26.0,1.0
random,seed_20263948,SGBTR_97,SGBTR,97.0,98.0,1.0
random,seed_20263948,SGATR_61,SGATR,61.0,60.0,1.0
random,seed_20263948,FLB_13,FLB,13.0,12.0,1.0
random,seed_20263948,SLBIC_20,SLBIC,20.0,19.0,1.0
random,seed_20263948,FLB_6,FLB,6.0,4.0,2.0
random,seed_20263948,LOCAC_75,LOCAC,75.0,76.0,1.0
random,seed_20263948,SGBTR_110,SGBTR,110.0,109.0,1.0
random,seed_20263948,FLB_86,FLB,86.0,87.0,1.0
random,seed_20263948,SGATR_77,SGATR,77.0,76.0,1.0
random,seed_20263948,LOCAC_52,LOCAC,52.0,53.0,1.0
random,seed_20263948,RI_-17,RI,-17.0,-20.0,3.0
random,seed_20263948,FLB_51,FLB,51.0,50.0,1.0
random,seed_20263948,FLB_47,FLB,47.0,46.0,1.0
random,seed_20263948,SGBTR_77,SGBTR,77.0,78.0,1.0
random,seed_20263948,FLB_30,FLB,30.0,29.0,1.0
random,seed_20263948,SGATR_78,SGATR,78.0,80.0,2.0
random,seed_20263948,LOCAC_73,LOCAC,73.0,72.0,1.0
random,seed_20263948,SLBIC_36,SLBIC,36.0,37.0,1.0
random,seed_20263948,SLBIC_101,SLBIC,101.0,98.0,3.0
random,seed_20263948,SGATR_67,SGATR,67.0,69.0,2.0
random,seed_20263948,LOCA_73,LOCA,73.0,72.0,1.0
random,seed_20263948,FLB_5,FLB,5.0,4.0,1.0
random,seed_20263948,LOCAC_69,LOCAC,69.0,70.0,1.0
random,seed_20263948,RI_-15,RI,-15.0,-13.0,2.0
random,seed_20263948,LR_75,LR,75.0,76.0,1.0
random,seed_20263948,SLBIC_28,SLBIC,28.0,27.0,1.0
random,seed_20263948,SGBTR_103,SGBTR,103.0,102.0,1.0
random,seed_20263948,SGBTR_74,SGBTR,74.0,76.0,2.0
random,seed_20263948,FLB_40,FLB,40.0,41.0,1.0
random,seed_20263948,FLB_32,FLB,32.0,31.0,1.0
random,seed_20263948,LOCAC_25,LOCAC,25.0,24.0,1.0
random,seed_20263948,SGATR_79,SGATR,79.0,80.0,1.0
random,seed_20263948,LOCA_44,LOCA,44.0,45.0,1.0
random,seed_20263948,SLBIC_83,SLBIC,83.0,84.0,1.0
random,seed_20263948,SGBTR_75,SGBTR,75.0,76.0,1.0
random,seed_20263948,LR_85,LR,85.0,86.0,1.0
random,seed_20263948,LOCA_7,LOCA,7.0,6.0,1.0
random,seed_20263948,FLB_15,FLB,15.0,16.0,1.0
random,seed_20263948,SLBIC_99,SLBIC,99.0,98.0,1.0
random,seed_20263948,LR_79,LR,79.0,78.0,1.0
random,seed_20263948,LOCAC_27,LOCAC,27.0,28.0,1.0
random,seed_20263948,SGATR_66,SGATR,66.0,64.0,2.0
random,seed_20263948,SLBIC_69,SLBIC,69.0,68.0,1.0
random,seed_20263948,LOCA_49,LOCA,49.0,50.0,1.0
random,seed_20263948,FLB_99,FLB,99.0,98.0,1.0
random,seed_20263948,LOCAC_56,LOCAC,56.0,55.0,1.0
random,seed_20263948,LOCA_57,LOCA,57.0,58.0,1.0
random,seed_20263948,SGATR_96,SGATR,96.0,95.0,1.0
random,seed_20263948,LOCAC_21,LOCAC,21.0,23.0,2.0
random,seed_20263948,SGATR_68,SGATR,68.0,69.0,1.0
random,seed_20264957,LOCA_65,LOCA,65.0,64.0,1.0
random,seed_20264957,FLB_74,FLB,74.0,73.0,1.0
random,seed_20264957,FLB_65,FLB,65.0,64.0,1.0
random,seed_20264957,FLB_34,FLB,34.0,35.0,1.0
random,seed_20264957,LOCAC_43,LOCAC,43.0,44.0,1.0
random,seed_20264957,SLBIC_41,SLBIC,41.0,42.0,1.0
random,seed_20264957,RI_-4,RI,-4.0,-3.0,1.0
random,seed_20264957,FLB_38,FLB,38.0,39.0,1.0
random,seed_20264957,LOCAC_62,LOCAC,62.0,61.0,1.0
random,seed_20264957,FLB_85,FLB,85.0,86.0,1.0
random,seed_20264957,LR_80,LR,80.0,79.0,1.0
random,seed_20264957,LOCAC_50,LOCAC,50.0,49.0,1.0
random,seed_20264957,SLBIC_60,SLBIC,60.0,58.0,2.0
random,seed_20264957,SGATR_100,SGATR,100.0,99.0,1.0
random,seed_20264957,LOCAC_29,LOCAC,29.0,28.0,1.0
