sample_id,severity,source_file,report_file,report_exists,injection_s,hpi_pump_1_s,hpi_pump_2_s,hpsi_start_s,scram_s,fw_isolation_s,ctmt_spray_s,accumulator_1_s,sump_recirc_s,core_uncovered_s,first_protection_s,whpi_first_positive_s,report_hpi_minus_whpi_s
LOCA_034,34,34.csv,34Transient Report.txt,True,0.5,145.5,145.5,145.5,137.0,1335.0,191.5,,2960.0,,137.0,150.0,-4.5
LOCA_035,35,35.csv,35Transient Report.txt,True,0.5,144.5,144.5,144.5,136.0,1072.0,188.5,,2962.0,,136.0,150.0,-5.5
LOCA_036,36,36.csv,36Transient Report.txt,True,0.5,143.5,143.5,143.5,135.0,1043.5,186.0,,2953.0,,135.0,150.0,-6.5
LOCA_037,37,37.csv,37Transient Report.txt,True,0.5,142.5,142.5,142.5,134.5,1086.0,183.5,,2951.0,,134.5,150.0,-7.5
LOCA_038,38,38.csv,38Transient Report.txt,True,0.5,141.5,141.5,141.5,133.5,1012.5,181.5,,2948.5,,133.5,150.0,-8.5
LOCA_039,39,39.csv,39Transient Report.txt,True,0.5,141.0,141.0,141.0,133.0,951.0,179.5,3663.0,2946.0,,133.0,150.0,-9.0
LOCA_040,40,40.csv,40Transient Report.txt,True,0.5,140.5,140.5,140.5,132.5,892.5,177.0,3522.5,2943.5,,132.5,150.0,-9.5
LOCA_041,41,41.csv,41Transient Report.txt,True,0.5,139.5,139.5,139.5,131.5,839.5,175.5,3391.0,2941.5,,131.5,140.0,-0.5
LOCA_042,42,42.csv,42Transient Report.txt,True,0.5,139.0,139.0,139.0,131.0,787.5,173.5,3268.0,2939.0,,131.0,140.0,-1.0
LOCA_043,43,43.csv,43Transient Report.txt,True,0.5,53.0,53.0,53.0,45.0,615.5,86.5,,2855.0,3207.0,45.0,140.0,-87.0
LOCA_044,44,44.csv,44Transient Report.txt,True,0.5,137.5,137.5,137.5,130.0,701.0,170.0,3028.0,2935.0,,130.0,140.0,-2.5
LOCA_045,45,45.csv,45Transient Report.txt,True,0.5,137.0,137.0,137.0,129.5,663.0,168.5,2900.5,2933.0,,129.5,140.0,-3.0
LOCA_046,46,46.csv,46Transient Report.txt,True,0.5,136.5,136.5,136.5,129.0,626.5,167.0,2804.0,2931.0,,129.0,140.0,-3.5
LOCA_047,47,47.csv,47Transient Report.txt,True,0.5,136.0,136.0,136.0,128.5,268.5,165.5,2630.0,2928.5,,128.5,140.0,-4.0
LOCA_048,48,48.csv,48Transient Report.txt,True,0.5,135.5,135.5,135.5,128.0,549.5,164.0,2625.5,2927.5,,128.0,140.0,-4.5
LOCA_049,49,49.csv,49Transient Report.txt,True,0.5,135.0,135.0,135.0,127.5,533.0,163.0,2546.0,2926.0,,127.5,140.0,-5.0
LOCA_050,50,50.csv,50Transient Report.txt,True,0.5,134.5,134.5,134.5,127.5,497.5,161.5,2465.5,2924.5,,127.5,140.0,-5.5
LOCA_051,51,51.csv,51Transient Report.txt,True,0.5,134.0,134.0,134.0,127.0,473.5,160.0,2393.0,2922.5,,127.0,140.0,-6.0
LOCA_052,52,52.csv,52Transient Report.txt,True,0.5,133.5,133.5,133.5,126.5,435.5,159.0,,2924.5,1897.0,126.5,140.0,-6.5
LOCA_053,53,53.csv,53Transient Report.txt,True,0.5,133.0,133.0,133.0,126.0,365.0,158.0,,2926.5,1263.0,126.0,140.0,-7.0
LOCA_054,54,54.csv,54Transient Report.txt,True,0.5,133.0,133.0,133.0,126.0,418.0,157.0,2200.0,2918.5,,126.0,140.0,-7.0
LOCA_055,55,55.csv,55Transient Report.txt,True,0.5,132.5,132.5,132.5,125.5,398.0,156.0,2140.0,2917.5,,125.5,140.0,-7.5
LOCA_056,56,56.csv,56Transient Report.txt,True,0.5,132.0,132.0,132.0,125.0,379.0,155.0,2075.0,2916.0,2036.0,125.0,140.0,-8.0
LOCA_057,57,57.csv,57Transient Report.txt,True,0.5,131.5,131.5,131.5,125.0,365.5,154.0,2009.0,2914.5,1843.0,125.0,140.0,-8.5
LOCA_058,58,58.csv,58Transient Report.txt,True,0.5,131.0,131.0,131.0,124.5,352.5,153.0,1951.0,2913.5,1707.5,124.5,140.0,-9.0
LOCA_059,59,59.csv,59Transient Report.txt,True,0.5,130.5,130.5,130.5,124.0,336.5,152.0,1896.0,2912.0,1603.5,124.0,140.0,-9.5
LOCA_060,60,60.csv,60Transient Report.txt,True,0.5,130.5,130.5,130.5,124.0,330.0,151.0,1849.0,2910.5,1526.5,124.0,140.0,-9.5
LOCA_061,61,61.csv,61Transient Report.txt,True,0.5,130.0,130.0,130.0,123.5,318.0,150.5,1800.5,2910.0,1446.5,123.5,130.0,0.0
LOCA_062,62,62.csv,62Transient Report.txt,True,0.5,130.0,130.0,130.0,123.5,304.5,149.5,1755.0,2908.5,1395.5,123.5,130.0,0.0
LOCA_063,63,63.csv,63Transient Report.txt,True,0.5,129.5,129.5,129.5,123.0,285.5,149.0,,2913.0,1136.0,123.0,130.0,-0.5
LOCA_064,64,64.csv,64Transient Report.txt,True,0.5,129.5,129.5,129.5,123.0,292.5,148.0,1673.5,2906.5,1283.5,123.0,130.0,-0.5
LOCA_065,65,65.csv,65Transient Report.txt,True,0.5,129.0,129.0,129.0,122.5,271.0,147.5,,2912.5,945.0,122.5,130.0,-1.0
LOCA_066,66,66.csv,66Transient Report.txt,True,0.5,128.5,128.5,128.5,122.5,282.0,146.5,1600.0,2904.5,1199.5,122.5,130.0,-1.5
LOCA_067,67,67.csv,67Transient Report.txt,True,0.5,128.5,128.5,128.5,122.0,269.5,146.0,,2909.0,1027.5,122.0,130.0,-1.5
LOCA_068,68,68.csv,68Transient Report.txt,True,0.5,128.0,128.0,128.0,122.0,268.5,145.0,,2907.5,1080.5,122.0,130.0,-2.0
LOCA_069,69,69.csv,69Transient Report.txt,True,0.5,128.0,128.0,128.0,122.0,263.0,144.5,,2907.0,1031.0,122.0,130.0,-2.0
LOCA_070,70,70.csv,70Transient Report.txt,True,0.5,127.5,127.5,127.5,121.5,211.5,144.0,1371.5,2900.0,,121.5,130.0,-2.5
LOCA_071,71,71.csv,71Transient Report.txt,True,0.5,127.5,127.5,127.5,121.5,260.5,143.5,2724.5,2905.5,1012.5,121.5,130.0,-2.5
LOCA_072,72,72.csv,72Transient Report.txt,True,0.5,127.0,127.0,127.0,121.0,257.5,143.0,1410.0,2899.5,1009.5,121.0,130.0,-3.0
LOCA_073,73,73.csv,73Transient Report.txt,True,0.5,127.0,127.0,127.0,121.0,255.0,142.0,2544.0,2903.5,960.5,121.0,130.0,-3.0
LOCA_074,74,74.csv,74Transient Report.txt,True,0.5,126.5,126.5,126.5,121.0,250.0,141.5,2517.0,2903.0,924.5,121.0,130.0,-3.5
LOCA_075,75,75.csv,75Transient Report.txt,True,0.5,126.5,126.5,126.5,120.5,204.0,141.0,1272.5,2896.5,1087.5,120.5,130.0,-3.5
LOCA_076,76,76.csv,76Transient Report.txt,True,0.5,126.0,126.0,126.0,120.5,247.0,140.5,1312.5,2896.5,924.5,120.5,130.0,-4.0
LOCA_077,77,77.csv,77Transient Report.txt,True,0.5,126.0,126.0,126.0,120.5,245.5,140.0,1284.0,2895.5,898.0,120.5,130.0,-4.0
LOCA_078,78,78.csv,78Transient Report.txt,True,0.5,125.5,125.5,125.5,120.0,242.5,139.5,2031.5,2900.5,864.0,120.0,130.0,-4.5
LOCA_079,79,79.csv,79Transient Report.txt,True,0.5,125.5,125.5,125.5,120.0,241.5,139.0,1238.5,2894.5,863.0,120.0,130.0,-4.5
LOCA_080,80,80.csv,80Transient Report.txt,True,0.5,125.5,125.5,125.5,120.0,237.0,138.5,2117.0,2899.5,802.0,120.0,130.0,-4.5
LOCA_081,81,81.csv,81Transient Report.txt,True,0.5,125.0,125.0,125.0,119.5,239.0,138.0,1200.0,2893.0,831.0,119.5,130.0,-5.0
LOCA_082,82,82.csv,82Transient Report.txt,True,0.5,125.0,125.0,125.0,119.5,195.5,137.5,1047.0,2891.0,,119.5,130.0,-5.0
LOCA_083,83,83.csv,83Transient Report.txt,True,0.5,125.0,125.0,125.0,119.5,233.5,137.0,1758.0,2897.0,785.0,119.5,130.0,-5.0
LOCA_084,84,84.csv,84Transient Report.txt,True,0.5,124.5,124.5,124.5,119.5,232.0,136.5,1715.5,2896.5,769.5,119.5,130.0,-5.5
LOCA_085,85,85.csv,85Transient Report.txt,True,0.5,124.5,124.5,124.5,119.0,230.5,136.5,1120.5,2891.0,769.0,119.0,130.0,-5.5
LOCA_086,86,86.csv,86Transient Report.txt,True,0.5,124.5,124.5,124.5,119.0,231.0,136.0,1107.5,2890.5,761.5,119.0,130.0,-5.5
LOCA_087,87,87.csv,87Transient Report.txt,True,0.5,124.0,124.0,124.0,119.0,228.0,135.5,1610.5,2895.5,730.5,119.0,130.0,-6.0
LOCA_088,88,88.csv,88Transient Report.txt,True,0.5,124.0,124.0,124.0,119.0,219.0,135.0,2557.5,2899.0,520.0,119.0,130.0,-6.0
LOCA_089,89,89.csv,89Transient Report.txt,True,0.5,123.5,123.5,123.5,118.5,228.0,135.0,1060.0,2889.0,722.0,118.5,130.0,-6.5
LOCA_090,90,90.csv,90Transient Report.txt,True,0.5,123.5,123.5,123.5,118.5,223.0,134.5,1506.0,2894.0,697.0,118.5,130.0,-6.5
LOCA_091,91,91.csv,91Transient Report.txt,True,0.5,123.5,123.5,123.5,118.5,214.0,134.0,3173.5,2902.0,401.0,118.5,130.0,-6.5
LOCA_092,92,92.csv,92Transient Report.txt,True,0.5,123.5,123.5,123.5,118.5,223.0,133.5,1014.0,2888.0,688.0,118.5,130.0,-6.5
LOCA_093,93,93.csv,93Transient Report.txt,True,0.5,123.0,123.0,123.0,118.0,220.5,133.5,993.5,2887.5,670.0,118.0,130.0,-7.0
LOCA_094,94,94.csv,94Transient Report.txt,True,0.5,123.0,123.0,123.0,118.0,219.0,133.0,984.5,2887.0,665.5,118.0,130.0,-7.0
LOCA_095,95,95.csv,95Transient Report.txt,True,0.5,123.0,123.0,123.0,118.0,219.5,132.5,973.0,2886.5,661.0,118.0,130.0,-7.0
LOCA_096,96,96.csv,96Transient Report.txt,True,0.5,123.0,123.0,123.0,118.0,218.0,132.5,1341.5,2891.0,646.0,118.0,130.0,-7.0
LOCA_097,97,97.csv,97Transient Report.txt,True,0.5,122.5,122.5,122.5,118.0,182.5,132.0,802.5,2883.0,,118.0,130.0,-7.5
LOCA_098,98,98.csv,98Transient Report.txt,True,0.5,122.5,122.5,122.5,117.5,215.5,132.0,1288.5,2890.5,635.5,117.5,130.0,-7.5
LOCA_099,99,99.csv,99Transient Report.txt,True,0.5,122.5,122.5,122.5,117.5,216.0,131.5,925.0,2885.0,628.0,117.5,130.0,-7.5
LOCA_100,100,100.csv,100Transient Report.txt,True,0.5,122.0,122.0,122.0,117.5,209.0,131.0,1720.5,2891.5,515.0,117.5,130.0,-8.0
