sample_id,accident_class,operation_csv,transient_report,report_exists,report_line_count,injection_s,injection_event,scram_s,scram_event,hpi_pump_1_s,hpi_pump_1_event,hpi_pump_2_s,hpi_pump_2_event,hpsi_start_s,hpsi_start_event,first_protection_s,first_protection_event,event_parse_ok
FLB_10,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/10.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/10Transient Report.txt,True,41,0.5,Malfunction # 13 Fraction = 10.0 %,688.0,Reactor Scram,687.0,HPI Pump #1 Position Change: 100%,687.0,HPI Pump #2 Position Change: 100%,687.0,HPSI start high RB Press 1.30 bar,687.0,HPI Pump #1 Position Change: 100%,True
FLB_11,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/11.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/11Transient Report.txt,True,37,0.5,Malfunction # 13 Fraction = 11.0 %,634.5,Reactor Scram,633.5,HPI Pump #1 Position Change: 100%,633.5,HPI Pump #2 Position Change: 100%,633.5,HPSI start high RB Press 1.30 bar,633.5,HPI Pump #1 Position Change: 100%,True
FLB_12,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/12.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/12Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 12.0 %,590.5,Reactor Scram,589.5,HPI Pump #1 Position Change: 100%,589.5,HPI Pump #2 Position Change: 100%,589.5,HPSI start high RB Press 1.30 bar,589.5,HPI Pump #1 Position Change: 100%,True
FLB_13,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/13.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/13Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 13.0 %,553.5,Reactor Scram,552.5,HPI Pump #1 Position Change: 100%,552.5,HPI Pump #2 Position Change: 100%,552.5,HPSI start high RB Press 1.30 bar,552.5,HPI Pump #1 Position Change: 100%,True
FLB_14,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/14.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/14Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 14.0 %,521.0,Reactor Scram,520.0,HPI Pump #1 Position Change: 100%,520.0,HPI Pump #2 Position Change: 100%,520.0,HPSI start high RB Press 1.30 bar,520.0,HPI Pump #1 Position Change: 100%,True
FLB_15,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/15.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/15Transient Report.txt,True,54,0.5,Malfunction # 13 Fraction = 15.0 %,494.0,Reactor Scram,493.0,HPI Pump #1 Position Change: 100%,493.0,HPI Pump #2 Position Change: 100%,493.0,HPSI start high RB Press 1.30 bar,493.0,HPI Pump #1 Position Change: 100%,True
FLB_16,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/16.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/16Transient Report.txt,True,54,0.5,Malfunction # 13 Fraction = 16.0 %,469.5,Reactor Scram,468.5,HPI Pump #1 Position Change: 100%,468.5,HPI Pump #2 Position Change: 100%,468.5,HPSI start high RB Press 1.30 bar,468.5,HPI Pump #1 Position Change: 100%,True
FLB_17,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/17.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/17Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 17.0 %,448.0,Reactor Scram,447.0,HPI Pump #1 Position Change: 100%,447.0,HPI Pump #2 Position Change: 100%,447.0,HPSI start high RB Press 1.30 bar,447.0,HPI Pump #1 Position Change: 100%,True
FLB_18,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/18.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/18Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 18.0 %,429.5,Reactor Scram,428.5,HPI Pump #1 Position Change: 100%,428.5,HPI Pump #2 Position Change: 100%,428.5,HPSI start high RB Press 1.30 bar,428.5,HPI Pump #1 Position Change: 100%,True
FLB_19,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/19.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/19Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 19.0 %,412.0,Reactor Scram,411.0,HPI Pump #1 Position Change: 100%,411.0,HPI Pump #2 Position Change: 100%,411.0,HPSI start high RB Press 1.30 bar,411.0,HPI Pump #1 Position Change: 100%,True
FLB_20,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/20.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/20Transient Report.txt,True,55,0.5,Malfunction # 13 Fraction = 20.0 %,397.0,Reactor Scram,396.0,HPI Pump #1 Position Change: 100%,396.0,HPI Pump #2 Position Change: 100%,396.0,HPSI start high RB Press 1.30 bar,396.0,HPI Pump #1 Position Change: 100%,True
FLB_21,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/21.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/21Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 21.0 %,383.0,Reactor Scram,382.0,HPI Pump #1 Position Change: 100%,382.0,HPI Pump #2 Position Change: 100%,382.0,HPSI start high RB Press 1.30 bar,382.0,HPI Pump #1 Position Change: 100%,True
FLB_22,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/22.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/22Transient Report.txt,True,58,0.5,Malfunction # 13 Fraction = 22.0 %,370.5,Reactor Scram,369.5,HPI Pump #1 Position Change: 100%,369.5,HPI Pump #2 Position Change: 100%,369.5,HPSI start high RB Press 1.30 bar,369.5,HPI Pump #1 Position Change: 100%,True
FLB_23,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/23.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/23Transient Report.txt,True,57,0.5,Malfunction # 13 Fraction = 23.0 %,359.0,Reactor Scram,358.0,HPI Pump #1 Position Change: 100%,358.0,HPI Pump #2 Position Change: 100%,358.0,HPSI start high RB Press 1.30 bar,358.0,HPI Pump #1 Position Change: 100%,True
FLB_24,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/24.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/24Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 24.0 %,348.5,Reactor Scram,347.5,HPI Pump #1 Position Change: 100%,347.5,HPI Pump #2 Position Change: 100%,347.5,HPSI start high RB Press 1.30 bar,347.5,HPI Pump #1 Position Change: 100%,True
FLB_25,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/25.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/25Transient Report.txt,True,58,0.5,Malfunction # 13 Fraction = 25.0 %,339.0,Reactor Scram,338.0,HPI Pump #1 Position Change: 100%,338.0,HPI Pump #2 Position Change: 100%,338.0,HPSI start high RB Press 1.30 bar,338.0,HPI Pump #1 Position Change: 100%,True
FLB_26,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/26.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/26Transient Report.txt,True,54,0.5,Malfunction # 13 Fraction = 26.0 %,330.0,Reactor Scram,329.0,HPI Pump #1 Position Change: 100%,329.0,HPI Pump #2 Position Change: 100%,329.0,HPSI start high RB Press 1.30 bar,329.0,HPI Pump #1 Position Change: 100%,True
FLB_27,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/27.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/27Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 27.0 %,322.0,Reactor Scram,321.0,HPI Pump #1 Position Change: 100%,321.0,HPI Pump #2 Position Change: 100%,321.0,HPSI start high RB Press 1.30 bar,321.0,HPI Pump #1 Position Change: 100%,True
FLB_28,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/28.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/28Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 28.0 %,314.0,Reactor Scram,313.0,HPI Pump #1 Position Change: 100%,313.0,HPI Pump #2 Position Change: 100%,313.0,HPSI start high RB Press 1.30 bar,313.0,HPI Pump #1 Position Change: 100%,True
FLB_29,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/29.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/29Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 29.0 %,307.0,Reactor Scram,306.0,HPI Pump #1 Position Change: 100%,306.0,HPI Pump #2 Position Change: 100%,306.0,HPSI start high RB Press 1.30 bar,306.0,HPI Pump #1 Position Change: 100%,True
FLB_30,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/30.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/30Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 30.0 %,300.5,Reactor Scram,299.5,HPI Pump #1 Position Change: 100%,299.5,HPI Pump #2 Position Change: 100%,299.5,HPSI start high RB Press 1.30 bar,299.5,HPI Pump #1 Position Change: 100%,True
FLB_31,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/31.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/31Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 31.0 %,294.0,Reactor Scram,293.0,HPI Pump #1 Position Change: 100%,293.0,HPI Pump #2 Position Change: 100%,293.0,HPSI start high RB Press 1.30 bar,293.0,HPI Pump #1 Position Change: 100%,True
FLB_32,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/32.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/32Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 32.0 %,288.0,Reactor Scram,287.0,HPI Pump #1 Position Change: 100%,287.0,HPI Pump #2 Position Change: 100%,287.0,HPSI start high RB Press 1.30 bar,287.0,HPI Pump #1 Position Change: 100%,True
FLB_33,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/33.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/33Transient Report.txt,True,49,0.5,Malfunction # 13 Fraction = 33.0 %,282.5,Reactor Scram,281.5,HPI Pump #1 Position Change: 100%,281.5,HPI Pump #2 Position Change: 100%,281.5,HPSI start high RB Press 1.30 bar,281.5,HPI Pump #1 Position Change: 100%,True
FLB_34,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/34.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/34Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 34.0 %,277.5,Reactor Scram,276.5,HPI Pump #1 Position Change: 100%,276.5,HPI Pump #2 Position Change: 100%,276.5,HPSI start high RB Press 1.30 bar,276.5,HPI Pump #1 Position Change: 100%,True
FLB_35,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/35.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/35Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 35.0 %,272.5,Reactor Scram,271.5,HPI Pump #1 Position Change: 100%,271.5,HPI Pump #2 Position Change: 100%,271.5,HPSI start high RB Press 1.30 bar,271.5,HPI Pump #1 Position Change: 100%,True
FLB_36,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/36.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/36Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 36.0 %,268.0,Reactor Scram,267.0,HPI Pump #1 Position Change: 100%,267.0,HPI Pump #2 Position Change: 100%,267.0,HPSI start high RB Press 1.30 bar,267.0,HPI Pump #1 Position Change: 100%,True
FLB_37,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/37.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/37Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 37.0 %,263.5,Reactor Scram,262.5,HPI Pump #1 Position Change: 100%,262.5,HPI Pump #2 Position Change: 100%,262.5,HPSI start high RB Press 1.30 bar,262.5,HPI Pump #1 Position Change: 100%,True
FLB_38,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/38.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/38Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 38.0 %,259.5,Reactor Scram,258.5,HPI Pump #1 Position Change: 100%,258.5,HPI Pump #2 Position Change: 100%,258.5,HPSI start high RB Press 1.30 bar,258.5,HPI Pump #1 Position Change: 100%,True
FLB_39,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/39.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/39Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 39.0 %,255.5,Reactor Scram,254.5,HPI Pump #1 Position Change: 100%,254.5,HPI Pump #2 Position Change: 100%,254.5,HPSI start high RB Press 1.30 bar,254.5,HPI Pump #1 Position Change: 100%,True
FLB_40,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/40.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/40Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 40.0 %,252.0,Reactor Scram,251.0,HPI Pump #1 Position Change: 100%,251.0,HPI Pump #2 Position Change: 100%,251.0,HPSI start high RB Press 1.30 bar,251.0,HPI Pump #1 Position Change: 100%,True
FLB_41,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/41.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/41Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 41.0 %,248.5,Reactor Scram,247.5,HPI Pump #1 Position Change: 100%,247.5,HPI Pump #2 Position Change: 100%,247.5,HPSI start high RB Press 1.30 bar,247.5,HPI Pump #1 Position Change: 100%,True
FLB_42,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/42.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/42Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 42.0 %,245.0,Reactor Scram,244.0,HPI Pump #1 Position Change: 100%,244.0,HPI Pump #2 Position Change: 100%,244.0,HPSI start high RB Press 1.30 bar,244.0,HPI Pump #1 Position Change: 100%,True
FLB_43,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/43.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/43Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 43.0 %,242.0,Reactor Scram,241.0,HPI Pump #1 Position Change: 100%,241.0,HPI Pump #2 Position Change: 100%,241.0,HPSI start high RB Press 1.30 bar,241.0,HPI Pump #1 Position Change: 100%,True
FLB_44,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/44.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/44Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 44.0 %,239.0,Reactor Scram,238.0,HPI Pump #1 Position Change: 100%,238.0,HPI Pump #2 Position Change: 100%,238.0,HPSI start high RB Press 1.30 bar,238.0,HPI Pump #1 Position Change: 100%,True
FLB_45,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/45.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/45Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 45.0 %,236.0,Reactor Scram,235.0,HPI Pump #1 Position Change: 100%,235.0,HPI Pump #2 Position Change: 100%,235.0,HPSI start high RB Press 1.30 bar,235.0,HPI Pump #1 Position Change: 100%,True
FLB_46,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/46.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/46Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 46.0 %,233.0,Reactor Scram,232.0,HPI Pump #1 Position Change: 100%,232.0,HPI Pump #2 Position Change: 100%,232.0,HPSI start high RB Press 1.30 bar,232.0,HPI Pump #1 Position Change: 100%,True
FLB_47,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/47.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/47Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 47.0 %,230.5,Reactor Scram,229.5,HPI Pump #1 Position Change: 100%,229.5,HPI Pump #2 Position Change: 100%,229.5,HPSI start high RB Press 1.30 bar,229.5,HPI Pump #1 Position Change: 100%,True
FLB_48,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/48.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/48Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 48.0 %,228.0,Reactor Scram,227.0,HPI Pump #1 Position Change: 100%,227.0,HPI Pump #2 Position Change: 100%,227.0,HPSI start high RB Press 1.30 bar,227.0,HPI Pump #1 Position Change: 100%,True
FLB_49,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/49.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/49Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 49.0 %,225.5,Reactor Scram,224.5,HPI Pump #1 Position Change: 100%,224.5,HPI Pump #2 Position Change: 100%,224.5,HPSI start high RB Press 1.30 bar,224.5,HPI Pump #1 Position Change: 100%,True
FLB_50,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/50.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/50Transient Report.txt,True,47,0.5,Malfunction # 13 Fraction = 50.0 %,223.0,Reactor Scram,222.0,HPI Pump #1 Position Change: 100%,222.0,HPI Pump #2 Position Change: 100%,222.0,HPSI start high RB Press 1.30 bar,222.0,HPI Pump #1 Position Change: 100%,True
FLB_51,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/51.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/51Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 51.0 %,220.5,Reactor Scram,219.5,HPI Pump #1 Position Change: 100%,219.5,HPI Pump #2 Position Change: 100%,219.5,HPSI start high RB Press 1.30 bar,219.5,HPI Pump #1 Position Change: 100%,True
FLB_52,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/52.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/52Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 52.0 %,218.5,Reactor Scram,217.5,HPI Pump #1 Position Change: 100%,217.5,HPI Pump #2 Position Change: 100%,217.5,HPSI start high RB Press 1.30 bar,217.5,HPI Pump #1 Position Change: 100%,True
FLB_53,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/53.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/53Transient Report.txt,True,46,0.5,Malfunction # 13 Fraction = 53.0 %,216.5,Reactor Scram,215.5,HPI Pump #1 Position Change: 100%,215.5,HPI Pump #2 Position Change: 100%,215.5,HPSI start high RB Press 1.30 bar,215.5,HPI Pump #1 Position Change: 100%,True
FLB_54,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/54.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/54Transient Report.txt,True,47,0.5,Malfunction # 13 Fraction = 54.0 %,214.5,Reactor Scram,213.5,HPI Pump #1 Position Change: 100%,213.5,HPI Pump #2 Position Change: 100%,213.5,HPSI start high RB Press 1.30 bar,213.5,HPI Pump #1 Position Change: 100%,True
FLB_55,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/55.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/55Transient Report.txt,True,46,0.5,Malfunction # 13 Fraction = 55.0 %,212.5,Reactor Scram,211.5,HPI Pump #1 Position Change: 100%,211.5,HPI Pump #2 Position Change: 100%,211.5,HPSI start high RB Press 1.30 bar,211.5,HPI Pump #1 Position Change: 100%,True
FLB_56,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/56.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/56Transient Report.txt,True,46,0.5,Malfunction # 13 Fraction = 56.0 %,210.5,Reactor Scram,209.5,HPI Pump #1 Position Change: 100%,209.5,HPI Pump #2 Position Change: 100%,209.5,HPSI start high RB Press 1.30 bar,209.5,HPI Pump #1 Position Change: 100%,True
FLB_57,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/57.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/57Transient Report.txt,True,46,0.5,Malfunction # 13 Fraction = 57.0 %,208.5,Reactor Scram,207.5,HPI Pump #1 Position Change: 100%,207.5,HPI Pump #2 Position Change: 100%,207.5,HPSI start high RB Press 1.30 bar,207.5,HPI Pump #1 Position Change: 100%,True
FLB_58,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/58.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/58Transient Report.txt,True,46,0.5,Malfunction # 13 Fraction = 58.0 %,207.0,Reactor Scram,206.0,HPI Pump #1 Position Change: 100%,206.0,HPI Pump #2 Position Change: 100%,206.0,HPSI start high RB Press 1.30 bar,206.0,HPI Pump #1 Position Change: 100%,True
FLB_59,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/59.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/59Transient Report.txt,True,46,0.5,Malfunction # 13 Fraction = 59.0 %,205.5,Reactor Scram,204.5,HPI Pump #1 Position Change: 100%,204.5,HPI Pump #2 Position Change: 100%,204.5,HPSI start high RB Press 1.30 bar,204.5,HPI Pump #1 Position Change: 100%,True
FLB_60,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/60.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/60Transient Report.txt,True,44,0.5,Malfunction # 13 Fraction = 60.0 %,203.5,Reactor Scram,202.5,HPI Pump #1 Position Change: 100%,202.5,HPI Pump #2 Position Change: 100%,202.5,HPSI start high RB Press 1.30 bar,202.5,HPI Pump #1 Position Change: 100%,True
FLB_61,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/61.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/61Transient Report.txt,True,45,0.5,Malfunction # 13 Fraction = 61.0 %,202.0,Reactor Scram,201.0,HPI Pump #1 Position Change: 100%,201.0,HPI Pump #2 Position Change: 100%,201.0,HPSI start high RB Press 1.30 bar,201.0,HPI Pump #1 Position Change: 100%,True
FLB_62,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/62.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/62Transient Report.txt,True,45,0.5,Malfunction # 13 Fraction = 62.0 %,200.5,Reactor Scram,199.5,HPI Pump #1 Position Change: 100%,199.5,HPI Pump #2 Position Change: 100%,199.5,HPSI start high RB Press 1.30 bar,199.5,HPI Pump #1 Position Change: 100%,True
FLB_63,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/63.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/63Transient Report.txt,True,42,0.5,Malfunction # 13 Fraction = 63.0 %,199.0,Reactor Scram,198.0,HPI Pump #1 Position Change: 100%,198.0,HPI Pump #2 Position Change: 100%,198.0,HPSI start high RB Press 1.30 bar,198.0,HPI Pump #1 Position Change: 100%,True
