split_type,split_id,window_s,unit,label,train_support,validation_support,test_support,support_warning
random,seed_20261930,90,family,reactivity_and_control,22,8,7,False
random,seed_20261930,90,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20261930,90,family,steam_line_break,53,17,18,False
random,seed_20261930,90,family,turbine_and_load_transient,18,5,5,True
random,seed_20261930,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20261930,120,family,feedwater_line_break,59,20,20,False
random,seed_20261930,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20261930,120,family,reactivity_and_control,22,8,7,False
random,seed_20261930,120,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20261930,120,family,steam_line_break,53,17,18,False
random,seed_20261930,120,family,turbine_and_load_transient,18,5,5,True
random,seed_20262939,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20262939,60,family,feedwater_line_break,59,20,20,False
random,seed_20262939,60,family,primary_coolant_boundary_break,94,30,31,False
random,seed_20262939,60,family,reactivity_and_control,22,8,7,False
random,seed_20262939,60,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20262939,60,family,steam_line_break,53,17,18,False
random,seed_20262939,60,family,turbine_and_load_transient,17,6,5,True
random,seed_20262939,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20262939,90,family,feedwater_line_break,59,20,20,False
random,seed_20262939,90,family,primary_coolant_boundary_break,94,30,31,False
random,seed_20262939,90,family,reactivity_and_control,22,8,7,False
random,seed_20262939,90,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20262939,90,family,steam_line_break,53,17,18,False
random,seed_20262939,90,family,turbine_and_load_transient,17,6,5,True
random,seed_20262939,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20262939,120,family,feedwater_line_break,59,20,20,False
random,seed_20262939,120,family,primary_coolant_boundary_break,94,30,31,False
random,seed_20262939,120,family,reactivity_and_control,22,8,7,False
random,seed_20262939,120,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20262939,120,family,steam_line_break,53,17,18,False
random,seed_20262939,120,family,turbine_and_load_transient,17,6,5,True
random,seed_20263948,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20263948,60,family,feedwater_line_break,59,20,20,False
random,seed_20263948,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20263948,60,family,reactivity_and_control,22,8,7,False
random,seed_20263948,60,family,steam_generator_tube_rupture,59,19,20,False
random,seed_20263948,60,family,steam_line_break,53,17,18,False
random,seed_20263948,60,family,turbine_and_load_transient,17,6,5,True
random,seed_20263948,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20263948,90,family,feedwater_line_break,59,20,20,False
random,seed_20263948,90,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20263948,90,family,reactivity_and_control,22,8,7,False
random,seed_20263948,90,family,steam_generator_tube_rupture,59,19,20,False
random,seed_20263948,90,family,steam_line_break,53,17,18,False
random,seed_20263948,90,family,turbine_and_load_transient,17,6,5,True
random,seed_20263948,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20263948,120,family,feedwater_line_break,59,20,20,False
random,seed_20263948,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20263948,120,family,reactivity_and_control,22,8,7,False
random,seed_20263948,120,family,steam_generator_tube_rupture,59,19,20,False
random,seed_20263948,120,family,steam_line_break,53,17,18,False
random,seed_20263948,120,family,turbine_and_load_transient,17,6,5,True
random,seed_20264957,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20264957,60,family,feedwater_line_break,59,20,20,False
random,seed_20264957,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20264957,60,family,reactivity_and_control,22,8,7,False
random,seed_20264957,60,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20264957,60,family,steam_line_break,53,17,18,False
random,seed_20264957,60,family,turbine_and_load_transient,18,5,5,True
random,seed_20264957,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20264957,90,family,feedwater_line_break,59,20,20,False
random,seed_20264957,90,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20264957,90,family,reactivity_and_control,22,8,7,False
random,seed_20264957,90,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20264957,90,family,steam_line_break,53,17,18,False
random,seed_20264957,90,family,turbine_and_load_transient,18,5,5,True
random,seed_20264957,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20264957,120,family,feedwater_line_break,59,20,20,False
random,seed_20264957,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20264957,120,family,reactivity_and_control,22,8,7,False
random,seed_20264957,120,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20264957,120,family,steam_line_break,53,17,18,False
random,seed_20264957,120,family,turbine_and_load_transient,18,5,5,True
random,seed_20265966,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20265966,60,family,feedwater_line_break,59,20,20,False
random,seed_20265966,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20265966,60,family,reactivity_and_control,23,7,7,False
random,seed_20265966,60,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20265966,60,family,steam_line_break,53,17,18,False
random,seed_20265966,60,family,turbine_and_load_transient,17,6,5,True
random,seed_20265966,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20265966,90,family,feedwater_line_break,59,20,20,False
random,seed_20265966,90,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20265966,90,family,reactivity_and_control,23,7,7,False
random,seed_20265966,90,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20265966,90,family,steam_line_break,53,17,18,False
random,seed_20265966,90,family,turbine_and_load_transient,17,6,5,True
random,seed_20265966,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20265966,120,family,feedwater_line_break,59,20,20,False
random,seed_20265966,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20265966,120,family,reactivity_and_control,23,7,7,False
random,seed_20265966,120,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20265966,120,family,steam_line_break,53,17,18,False
random,seed_20265966,120,family,turbine_and_load_transient,17,6,5,True
random,seed_20266975,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20266975,60,family,feedwater_line_break,60,19,20,False
random,seed_20266975,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20266975,60,family,reactivity_and_control,22,8,7,False
random,seed_20266975,60,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20266975,60,family,steam_line_break,53,17,18,False
random,seed_20266975,60,family,turbine_and_load_transient,17,6,5,True
random,seed_20266975,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20266975,90,family,feedwater_line_break,60,19,20,False
random,seed_20266975,90,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20266975,90,family,reactivity_and_control,22,8,7,False
random,seed_20266975,90,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20266975,90,family,steam_line_break,53,17,18,False
random,seed_20266975,90,family,turbine_and_load_transient,17,6,5,True
random,seed_20266975,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20266975,120,family,feedwater_line_break,60,19,20,False
random,seed_20266975,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20266975,120,family,reactivity_and_control,22,8,7,False
random,seed_20266975,120,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20266975,120,family,steam_line_break,53,17,18,False
random,seed_20266975,120,family,turbine_and_load_transient,17,6,5,True
random,seed_20267984,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20267984,60,family,feedwater_line_break,59,20,20,False
random,seed_20267984,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20267984,60,family,reactivity_and_control,22,8,7,False
random,seed_20267984,60,family,steam_generator_tube_rupture,59,19,20,False
random,seed_20267984,60,family,steam_line_break,53,17,18,False
random,seed_20267984,60,family,turbine_and_load_transient,17,6,5,True
random,seed_20267984,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20267984,90,family,feedwater_line_break,59,20,20,False
random,seed_20267984,90,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20267984,90,family,reactivity_and_control,22,8,7,False
random,seed_20267984,90,family,steam_generator_tube_rupture,59,19,20,False
random,seed_20267984,90,family,steam_line_break,53,17,18,False
random,seed_20267984,90,family,turbine_and_load_transient,17,6,5,True
random,seed_20267984,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20267984,120,family,feedwater_line_break,59,20,20,False
random,seed_20267984,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20267984,120,family,reactivity_and_control,22,8,7,False
random,seed_20267984,120,family,steam_generator_tube_rupture,59,19,20,False
random,seed_20267984,120,family,steam_line_break,53,17,18,False
random,seed_20267984,120,family,turbine_and_load_transient,17,6,5,True
random,seed_20268993,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20268993,60,family,feedwater_line_break,59,20,20,False
random,seed_20268993,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20268993,60,family,reactivity_and_control,23,7,7,False
random,seed_20268993,60,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20268993,60,family,steam_line_break,53,17,18,False
random,seed_20268993,60,family,turbine_and_load_transient,17,6,5,True
random,seed_20268993,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20268993,90,family,feedwater_line_break,59,20,20,False
random,seed_20268993,90,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20268993,90,family,reactivity_and_control,23,7,7,False
random,seed_20268993,90,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20268993,90,family,steam_line_break,53,17,18,False
random,seed_20268993,90,family,turbine_and_load_transient,17,6,5,True
random,seed_20268993,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20268993,120,family,feedwater_line_break,59,20,20,False
random,seed_20268993,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20268993,120,family,reactivity_and_control,23,7,7,False
random,seed_20268993,120,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20268993,120,family,steam_line_break,53,17,18,False
random,seed_20268993,120,family,turbine_and_load_transient,17,6,5,True
random,seed_20270002,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20270002,60,family,feedwater_line_break,59,20,20,False
random,seed_20270002,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20270002,60,family,reactivity_and_control,23,7,7,False
random,seed_20270002,60,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20270002,60,family,steam_line_break,53,17,18,False
random,seed_20270002,60,family,turbine_and_load_transient,17,6,5,True
random,seed_20270002,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20270002,90,family,feedwater_line_break,59,20,20,False
random,seed_20270002,90,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20270002,90,family,reactivity_and_control,23,7,7,False
random,seed_20270002,90,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20270002,90,family,steam_line_break,53,17,18,False
random,seed_20270002,90,family,turbine_and_load_transient,17,6,5,True
random,seed_20270002,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20270002,120,family,feedwater_line_break,59,20,20,False
random,seed_20270002,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20270002,120,family,reactivity_and_control,23,7,7,False
random,seed_20270002,120,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20270002,120,family,steam_line_break,53,17,18,False
random,seed_20270002,120,family,turbine_and_load_transient,17,6,5,True
severity_blocked,low_block,60,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,low_block,60,family,feedwater_line_break,62,16,20,False
severity_blocked,low_block,60,family,primary_coolant_boundary_break,97,24,32,False
severity_blocked,low_block,60,family,reactivity_and_control,21,5,7,False
severity_blocked,low_block,60,family,steam_generator_tube_rupture,61,15,20,False
severity_blocked,low_block,60,family,steam_line_break,55,14,18,False
severity_blocked,low_block,60,family,turbine_and_load_transient,17,4,6,True
severity_blocked,low_block,90,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,low_block,90,family,feedwater_line_break,62,16,20,False
severity_blocked,low_block,90,family,primary_coolant_boundary_break,97,24,32,False
severity_blocked,low_block,90,family,reactivity_and_control,21,5,7,False
severity_blocked,low_block,90,family,steam_generator_tube_rupture,61,15,20,False
severity_blocked,low_block,90,family,steam_line_break,55,14,18,False
severity_blocked,low_block,90,family,turbine_and_load_transient,17,4,6,True
severity_blocked,low_block,120,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,low_block,120,family,feedwater_line_break,62,16,20,False
severity_blocked,low_block,120,family,primary_coolant_boundary_break,97,24,32,False
severity_blocked,low_block,120,family,reactivity_and_control,21,5,7,False
severity_blocked,low_block,120,family,steam_generator_tube_rupture,61,15,20,False
severity_blocked,low_block,120,family,steam_line_break,55,14,18,False
severity_blocked,low_block,120,family,turbine_and_load_transient,17,4,6,True
severity_blocked,middle_block,60,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,middle_block,60,family,feedwater_line_break,62,15,20,False
severity_blocked,middle_block,60,family,primary_coolant_boundary_break,95,24,32,False
severity_blocked,middle_block,60,family,reactivity_and_control,20,5,7,False
severity_blocked,middle_block,60,family,steam_generator_tube_rupture,59,15,20,False
severity_blocked,middle_block,60,family,steam_line_break,54,14,18,False
severity_blocked,middle_block,60,family,turbine_and_load_transient,16,4,6,True
severity_blocked,middle_block,90,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,middle_block,90,family,feedwater_line_break,62,15,20,False
severity_blocked,middle_block,90,family,primary_coolant_boundary_break,95,24,32,False
severity_blocked,middle_block,90,family,reactivity_and_control,20,5,7,False
severity_blocked,middle_block,90,family,steam_generator_tube_rupture,59,15,20,False
severity_blocked,middle_block,90,family,steam_line_break,54,14,18,False
severity_blocked,middle_block,90,family,turbine_and_load_transient,16,4,6,True
severity_blocked,middle_block,120,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,middle_block,120,family,feedwater_line_break,62,15,20,False
severity_blocked,middle_block,120,family,primary_coolant_boundary_break,95,24,32,False
severity_blocked,middle_block,120,family,reactivity_and_control,20,5,7,False
severity_blocked,middle_block,120,family,steam_generator_tube_rupture,59,15,20,False
severity_blocked,middle_block,120,family,steam_line_break,54,14,18,False
severity_blocked,middle_block,120,family,turbine_and_load_transient,16,4,6,True
severity_blocked,high_block,60,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,high_block,60,family,feedwater_line_break,62,16,20,False
severity_blocked,high_block,60,family,primary_coolant_boundary_break,97,24,32,False
severity_blocked,high_block,60,family,reactivity_and_control,21,5,7,False
severity_blocked,high_block,60,family,steam_generator_tube_rupture,61,15,20,False
severity_blocked,high_block,60,family,steam_line_break,55,14,18,False
severity_blocked,high_block,60,family,turbine_and_load_transient,17,4,6,True
severity_blocked,high_block,90,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,high_block,90,family,feedwater_line_break,62,16,20,False
severity_blocked,high_block,90,family,primary_coolant_boundary_break,97,24,32,False
severity_blocked,high_block,90,family,reactivity_and_control,21,5,7,False
severity_blocked,high_block,90,family,steam_generator_tube_rupture,61,15,20,False
severity_blocked,high_block,90,family,steam_line_break,55,14,18,False
severity_blocked,high_block,90,family,turbine_and_load_transient,17,4,6,True
severity_blocked,high_block,120,family,auxiliary_letdown_break,0,0,0,True
severity_blocked,high_block,120,family,feedwater_line_break,62,16,20,False
severity_blocked,high_block,120,family,primary_coolant_boundary_break,97,24,32,False
severity_blocked,high_block,120,family,reactivity_and_control,21,5,7,False
severity_blocked,high_block,120,family,steam_generator_tube_rupture,61,15,20,False
severity_blocked,high_block,120,family,steam_line_break,55,14,18,False
severity_blocked,high_block,120,family,turbine_and_load_transient,17,4,6,True
severity_extrapolation,low_train_to_high_test,60,family,auxiliary_letdown_break,0,0,0,True
severity_extrapolation,low_train_to_high_test,60,family,feedwater_line_break,62,16,20,False
severity_extrapolation,low_train_to_high_test,60,family,primary_coolant_boundary_break,97,24,32,False
severity_extrapolation,low_train_to_high_test,60,family,reactivity_and_control,21,5,7,False
severity_extrapolation,low_train_to_high_test,60,family,steam_generator_tube_rupture,61,15,20,False
severity_extrapolation,low_train_to_high_test,60,family,steam_line_break,55,14,18,False
severity_extrapolation,low_train_to_high_test,60,family,turbine_and_load_transient,17,4,6,True
severity_extrapolation,low_train_to_high_test,90,family,auxiliary_letdown_break,0,0,0,True
severity_extrapolation,low_train_to_high_test,90,family,feedwater_line_break,62,16,20,False
severity_extrapolation,low_train_to_high_test,90,family,primary_coolant_boundary_break,97,24,32,False
severity_extrapolation,low_train_to_high_test,90,family,reactivity_and_control,21,5,7,False
severity_extrapolation,low_train_to_high_test,90,family,steam_generator_tube_rupture,61,15,20,False
severity_extrapolation,low_train_to_high_test,90,family,steam_line_break,55,14,18,False
severity_extrapolation,low_train_to_high_test,90,family,turbine_and_load_transient,17,4,6,True
severity_extrapolation,low_train_to_high_test,120,family,auxiliary_letdown_break,0,0,0,True
severity_extrapolation,low_train_to_high_test,120,family,feedwater_line_break,62,16,20,False
severity_extrapolation,low_train_to_high_test,120,family,primary_coolant_boundary_break,97,24,32,False
severity_extrapolation,low_train_to_high_test,120,family,reactivity_and_control,21,5,7,False
severity_extrapolation,low_train_to_high_test,120,family,steam_generator_tube_rupture,61,15,20,False
severity_extrapolation,low_train_to_high_test,120,family,steam_line_break,55,14,18,False
severity_extrapolation,low_train_to_high_test,120,family,turbine_and_load_transient,17,4,6,True
severity_extrapolation,high_train_to_low_test,60,family,auxiliary_letdown_break,0,0,0,True
severity_extrapolation,high_train_to_low_test,60,family,feedwater_line_break,62,16,20,False
severity_extrapolation,high_train_to_low_test,60,family,primary_coolant_boundary_break,97,24,32,False
severity_extrapolation,high_train_to_low_test,60,family,reactivity_and_control,21,5,7,False
severity_extrapolation,high_train_to_low_test,60,family,steam_generator_tube_rupture,61,15,20,False
severity_extrapolation,high_train_to_low_test,60,family,steam_line_break,55,14,18,False
severity_extrapolation,high_train_to_low_test,60,family,turbine_and_load_transient,17,4,6,True
severity_extrapolation,high_train_to_low_test,90,family,auxiliary_letdown_break,0,0,0,True
severity_extrapolation,high_train_to_low_test,90,family,feedwater_line_break,62,16,20,False
severity_extrapolation,high_train_to_low_test,90,family,primary_coolant_boundary_break,97,24,32,False
severity_extrapolation,high_train_to_low_test,90,family,reactivity_and_control,21,5,7,False
severity_extrapolation,high_train_to_low_test,90,family,steam_generator_tube_rupture,61,15,20,False
severity_extrapolation,high_train_to_low_test,90,family,steam_line_break,55,14,18,False
severity_extrapolation,high_train_to_low_test,90,family,turbine_and_load_transient,17,4,6,True
severity_extrapolation,high_train_to_low_test,120,family,auxiliary_letdown_break,0,0,0,True
severity_extrapolation,high_train_to_low_test,120,family,feedwater_line_break,62,16,20,False
severity_extrapolation,high_train_to_low_test,120,family,primary_coolant_boundary_break,97,24,32,False
severity_extrapolation,high_train_to_low_test,120,family,reactivity_and_control,21,5,7,False
severity_extrapolation,high_train_to_low_test,120,family,steam_generator_tube_rupture,61,15,20,False
severity_extrapolation,high_train_to_low_test,120,family,steam_line_break,55,14,18,False
severity_extrapolation,high_train_to_low_test,120,family,turbine_and_load_transient,17,4,6,True
