sample_id,accident_class,numeric_case_id,operation_csv,transient_report,report_exists,report_line_count,injection_s,injection_event,injection_parse_ok,first_protection_s,first_protection_event,first_protection_category,protection_match_count,protection_categories,protection_match_examples,event_parse_ok,parser_version
FLB_1,FLB,1,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/1.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/1Transient Report.txt,True,2,0.5,Malfunction # 13 Fraction = 01.0 %,True,,,,0,,,False,13_generic_taxonomy_v1
FLB_19,FLB,19,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/19.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/19Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 19.0 %,True,411.0,HPSI start high RB Press 1.30 bar,hpsi_start,26,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"411 sec, HPSI start high RB Press 1.30 bar || 411 sec, HPI Pump #1 Position Change: 100% || 411 sec, HPI Pump #2 Position Change: 100% || 412 sec, Reactor Scram || 1725.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1768.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1809 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1849 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_2,FLB,2,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/2.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/2Transient Report.txt,True,119,0.5,Malfunction # 13 Fraction = 02.0 %,True,2958.5,HPSI start high RB Press 1.30 bar,hpsi_start,54,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"2958.5 sec, HPSI start high RB Press 1.30 bar || 2958.5 sec, HPI Pump #1 Position Change: 100% || 2958.5 sec, HPI Pump #2 Position Change: 100% || 2959.5 sec, Reactor Scram || 4273.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 4316.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 4356.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 4394.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_20,FLB,20,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/20.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/20Transient Report.txt,True,55,0.5,Malfunction # 13 Fraction = 20.0 %,True,396.0,HPSI start high RB Press 1.30 bar,hpsi_start,26,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"396 sec, HPSI start high RB Press 1.30 bar || 396 sec, HPI Pump #1 Position Change: 100% || 396 sec, HPI Pump #2 Position Change: 100% || 397 sec, Reactor Scram || 1710.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1753.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1794 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1834 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_21,FLB,21,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/21.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/21Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 21.0 %,True,382.0,HPSI start high RB Press 1.30 bar,hpsi_start,26,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"382 sec, HPSI start high RB Press 1.30 bar || 382 sec, HPI Pump #1 Position Change: 100% || 382 sec, HPI Pump #2 Position Change: 100% || 383 sec, Reactor Scram || 1696.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1739.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1780 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1820 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_22,FLB,22,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/22.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/22Transient Report.txt,True,58,0.5,Malfunction # 13 Fraction = 22.0 %,True,369.5,HPSI start high RB Press 1.30 bar,hpsi_start,27,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"369.5 sec, HPSI start high RB Press 1.30 bar || 369.5 sec, HPI Pump #1 Position Change: 100% || 369.5 sec, HPI Pump #2 Position Change: 100% || 370.5 sec, Reactor Scram || 1684 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1727 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1767.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1807.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_23,FLB,23,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/23.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/23Transient Report.txt,True,57,0.5,Malfunction # 13 Fraction = 23.0 %,True,358.0,HPSI start high RB Press 1.30 bar,hpsi_start,27,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"358 sec, HPSI start high RB Press 1.30 bar || 358 sec, HPI Pump #1 Position Change: 100% || 358 sec, HPI Pump #2 Position Change: 100% || 359 sec, Reactor Scram || 1672.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1715.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1756 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1796 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_24,FLB,24,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/24.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/24Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 24.0 %,True,347.5,HPSI start high RB Press 1.30 bar,hpsi_start,26,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"347.5 sec, HPSI start high RB Press 1.30 bar || 347.5 sec, HPI Pump #1 Position Change: 100% || 347.5 sec, HPI Pump #2 Position Change: 100% || 348.5 sec, Reactor Scram || 1662 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1705 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1745.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1785.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_25,FLB,25,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/25.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/25Transient Report.txt,True,58,0.5,Malfunction # 13 Fraction = 25.0 %,True,338.0,HPSI start high RB Press 1.30 bar,hpsi_start,27,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"338 sec, HPSI start high RB Press 1.30 bar || 338 sec, HPI Pump #1 Position Change: 100% || 338 sec, HPI Pump #2 Position Change: 100% || 339 sec, Reactor Scram || 1652 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1695 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1735.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1775.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_26,FLB,26,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/26.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/26Transient Report.txt,True,54,0.5,Malfunction # 13 Fraction = 26.0 %,True,329.0,HPSI start high RB Press 1.30 bar,hpsi_start,25,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"329 sec, HPSI start high RB Press 1.30 bar || 329 sec, HPI Pump #1 Position Change: 100% || 329 sec, HPI Pump #2 Position Change: 100% || 330 sec, Reactor Scram || 1642.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1685.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1725.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1763.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_27,FLB,27,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/27.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/27Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 27.0 %,True,321.0,HPSI start high RB Press 1.30 bar,hpsi_start,23,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"321 sec, HPSI start high RB Press 1.30 bar || 321 sec, HPI Pump #1 Position Change: 100% || 321 sec, HPI Pump #2 Position Change: 100% || 322 sec, Reactor Scram || 1635.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1678.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1719 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1759 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_28,FLB,28,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/28.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/28Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 28.0 %,True,313.0,HPSI start high RB Press 1.30 bar,hpsi_start,23,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"313 sec, HPSI start high RB Press 1.30 bar || 313 sec, HPI Pump #1 Position Change: 100% || 313 sec, HPI Pump #2 Position Change: 100% || 314 sec, Reactor Scram || 1627.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1670.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1711 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1751 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_29,FLB,29,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/29.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/29Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 29.0 %,True,306.0,HPSI start high RB Press 1.30 bar,hpsi_start,23,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"306 sec, HPSI start high RB Press 1.30 bar || 306 sec, HPI Pump #1 Position Change: 100% || 306 sec, HPI Pump #2 Position Change: 100% || 307 sec, Reactor Scram || 1620.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1663.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1703.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1741.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_3,FLB,3,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/3.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/3Transient Report.txt,True,118,0.5,Malfunction # 13 Fraction = 03.0 %,True,2033.0,HPSI start high RB Press 1.30 bar,hpsi_start,53,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"2033 sec, HPSI start high RB Press 1.30 bar || 2033 sec, HPI Pump #1 Position Change: 100% || 2033 sec, HPI Pump #2 Position Change: 100% || 2034 sec, Reactor Scram || 3347.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 3390.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 3431 sec, PZR Safety Relief Valve #0 Position Change: 100% || 3471 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_30,FLB,30,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/30.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/30Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 30.0 %,True,299.5,HPSI start high RB Press 1.30 bar,hpsi_start,23,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"299.5 sec, HPSI start high RB Press 1.30 bar || 299.5 sec, HPI Pump #1 Position Change: 100% || 299.5 sec, HPI Pump #2 Position Change: 100% || 300.5 sec, Reactor Scram || 1614 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1657 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1697 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1735 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_31,FLB,31,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/31.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/31Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 31.0 %,True,293.0,HPSI start high RB Press 1.30 bar,hpsi_start,23,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"293 sec, HPSI start high RB Press 1.30 bar || 293 sec, HPI Pump #1 Position Change: 100% || 293 sec, HPI Pump #2 Position Change: 100% || 294 sec, Reactor Scram || 1607.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1650.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1691 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1731 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_32,FLB,32,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/32.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/32Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 32.0 %,True,287.0,HPSI start high RB Press 1.30 bar,hpsi_start,23,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"287 sec, HPSI start high RB Press 1.30 bar || 287 sec, HPI Pump #1 Position Change: 100% || 287 sec, HPI Pump #2 Position Change: 100% || 288 sec, Reactor Scram || 1601.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1644.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1685 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1725 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_33,FLB,33,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/33.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/33Transient Report.txt,True,49,0.5,Malfunction # 13 Fraction = 33.0 %,True,281.5,HPSI start high RB Press 1.30 bar,hpsi_start,23,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"281.5 sec, HPSI start high RB Press 1.30 bar || 281.5 sec, HPI Pump #1 Position Change: 100% || 281.5 sec, HPI Pump #2 Position Change: 100% || 282.5 sec, Reactor Scram || 1596 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1639 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1679.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1719.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_34,FLB,34,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/34.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/34Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 34.0 %,True,276.5,HPSI start high RB Press 1.30 bar,hpsi_start,22,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"276.5 sec, HPSI start high RB Press 1.30 bar || 276.5 sec, HPI Pump #1 Position Change: 100% || 276.5 sec, HPI Pump #2 Position Change: 100% || 277.5 sec, Reactor Scram || 1591 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1634 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1674.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1714.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_35,FLB,35,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/35.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/35Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 35.0 %,True,271.5,HPSI start high RB Press 1.30 bar,hpsi_start,22,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"271.5 sec, HPSI start high RB Press 1.30 bar || 271.5 sec, HPI Pump #1 Position Change: 100% || 271.5 sec, HPI Pump #2 Position Change: 100% || 272.5 sec, Reactor Scram || 1586 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1629 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1669.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1709.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_36,FLB,36,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/36.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/36Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 36.0 %,True,267.0,HPSI start high RB Press 1.30 bar,hpsi_start,22,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"267 sec, HPSI start high RB Press 1.30 bar || 267 sec, HPI Pump #1 Position Change: 100% || 267 sec, HPI Pump #2 Position Change: 100% || 268 sec, Reactor Scram || 1581.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1624.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1665 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1705 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_37,FLB,37,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/37.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/37Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 37.0 %,True,262.5,HPSI start high RB Press 1.30 bar,hpsi_start,22,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"262.5 sec, HPSI start high RB Press 1.30 bar || 262.5 sec, HPI Pump #1 Position Change: 100% || 262.5 sec, HPI Pump #2 Position Change: 100% || 263.5 sec, Reactor Scram || 1577 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1620 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1660.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1700.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_38,FLB,38,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/38.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/38Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 38.0 %,True,258.5,HPSI start high RB Press 1.30 bar,hpsi_start,22,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"258.5 sec, HPSI start high RB Press 1.30 bar || 258.5 sec, HPI Pump #1 Position Change: 100% || 258.5 sec, HPI Pump #2 Position Change: 100% || 259.5 sec, Reactor Scram || 1573 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1616 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1656.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1696.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
