sample_id,severity,severity_unit,source_file,rows,time_end_s,P_first_deviation_s,P_peak_score_early,TAVG_first_deviation_s,TAVG_peak_score_early,LVPZ_first_deviation_s,LVPZ_peak_score_early,WECS_first_deviation_s,WECS_peak_score_early,PWR_first_deviation_s,PWR_peak_score_early,SCMA_first_deviation_s,SCMA_peak_score_early,TRB_first_deviation_s,TRB_peak_score_early,PRB_first_deviation_s,PRB_peak_score_early,LWRB_first_deviation_s,LWRB_peak_score_early,PRBA_first_deviation_s,PRBA_peak_score_early,DNBR_first_deviation_s,DNBR_peak_score_early,indirect_composite_first_deviation_s,indirect_features,hpi_pump_start_s,scram_s,whpi_first_positive_s,lead_time_to_hpi_s,lead_time_to_scram_s
LOCA_011,11,% of 100 cm2 break area,11.csv,423,4220.0,30.0,52.224181835542495,40.0,8.42635182214731,30.0,84.06762153871598,20.0,18.215372175818118,30.0,8.44899872777917,50.0,56.68568523164105,30.0,41.386138916015625,30.0,24.56037541009896,30.0,1010.6719440622298,30.0,6.4036414267907995,30.0,912.1738262322234,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",222.0,211.0,230.0,192.0,181.0
LOCA_012,12,% of 100 cm2 break area,12.csv,419,4180.0,30.0,52.26254214948668,40.0,8.486351058878332,30.0,84.06762153871598,20.0,18.37012088400859,30.0,8.46309822796691,50.0,56.68616927881387,30.0,40.50341796875,30.0,23.79632920716256,30.0,1029.1428285326263,30.0,6.266823673375886,30.0,902.2461120126022,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",211.5,200.5,220.0,181.5,170.5
LOCA_013,13,% of 100 cm2 break area,13.csv,416,4150.0,30.0,52.59547905692704,40.0,8.511875324340135,30.0,84.06762153871598,20.0,18.505650697217405,30.0,9.944485564598635,30.0,56.72469942426481,30.0,39.951995849609375,30.0,23.31941136438024,30.0,1040.5790531980429,30.0,6.181784215514426,30.0,901.5712243821133,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",203.0,192.0,210.0,173.0,162.0
LOCA_014,14,% of 100 cm2 break area,14.csv,413,4120.0,30.0,52.63887851674238,30.0,8.520245709661136,30.0,85.90835255961264,20.0,18.681413619238445,30.0,11.112213637706555,30.0,56.71240281346909,30.0,40.58026123046875,30.0,23.862874274209716,30.0,1050.3130883165056,30.0,6.278774027738744,30.0,902.8943782760036,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",196.0,185.0,200.0,166.0,155.0
LOCA_015,15,% of 100 cm2 break area,15.csv,412,4110.0,30.0,52.68744960240795,30.0,8.517580169799807,30.0,91.18261029643398,20.0,18.830984193452416,30.0,11.28899520897923,30.0,56.68355421472382,30.0,42.03321838378906,30.0,25.120382355135064,30.0,1059.1410135710846,30.0,6.503878475019079,30.0,902.9120573305945,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",189.5,179.0,190.0,159.5,149.0
LOCA_016,16,% of 100 cm2 break area,16.csv,412,4110.0,30.0,52.7385770610033,30.0,8.510232722285368,30.0,91.18261029643398,20.0,19.00244183629206,30.0,11.349745095585849,30.0,56.68403947188495,30.0,42.633056640625,30.0,25.639196381848322,30.0,1066.834185530793,30.0,6.596418127780432,30.0,904.0661295686588,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",184.5,174.0,190.0,154.5,144.0
LOCA_017,17,% of 100 cm2 break area,17.csv,414,4130.0,30.0,52.832696726144945,30.0,8.498232874939182,30.0,91.18261029643398,20.0,19.056261178036408,30.0,11.385468592919448,30.0,56.683168187156674,30.0,42.38963317871094,30.0,25.428689386142505,30.0,1073.5501988858105,30.0,6.558890859872037,30.0,904.5702909801038,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",180.0,169.5,180.0,150.0,139.5
LOCA_018,18,% of 100 cm2 break area,18.csv,412,4110.0,30.0,52.931222577257664,30.0,8.48726580133997,30.0,91.18261029643398,20.0,19.177370786450492,30.0,11.408537156277932,30.0,56.68829908590897,30.0,42.33415222167969,30.0,25.38040616701682,30.0,1079.6227204574777,30.0,6.5500036876506025,30.0,905.7555071341044,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",176.0,166.0,180.0,146.0,136.0
LOCA_019,19,% of 100 cm2 break area,19.csv,410,4090.0,30.0,53.02589669564511,30.0,8.472482382847064,30.0,91.18261029643398,20.0,19.22663546192913,30.0,11.428843508935282,30.0,56.689702821912476,30.0,42.452117919921875,30.0,25.482806251131997,30.0,1084.8871222071127,30.0,6.568612847827288,30.0,906.4261805713477,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",172.5,162.5,180.0,142.5,132.5
LOCA_020,20,% of 100 cm2 break area,20.csv,409,4080.0,30.0,53.112411028654044,30.0,8.454217041435669,30.0,91.18261029643398,20.0,19.327031193646448,30.0,11.444332538481827,30.0,56.68679732971815,30.0,42.49891662597656,30.0,25.52320367229162,30.0,1089.6699183982562,30.0,6.575758081706504,30.0,906.3649205914861,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",169.5,159.5,170.0,139.5,129.5
LOCA_021,21,% of 100 cm2 break area,21.csv,409,4080.0,30.0,53.304104651725346,30.0,8.429135393294013,30.0,91.18261029643398,20.0,19.415156008182795,30.0,11.45813823518226,30.0,56.678085693753154,30.0,42.40846252441406,30.0,25.445014371405634,30.0,1094.0667148868274,30.0,6.5618488683776794,30.0,907.1889495487858,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",166.5,156.5,170.0,136.5,126.5
LOCA_022,22,% of 100 cm2 break area,22.csv,408,4070.0,30.0,53.66932251406962,30.0,8.411745450582464,30.0,91.18261029643398,20.0,19.483673098412478,30.0,11.466696768351552,30.0,56.67305160395349,30.0,42.399932861328125,30.0,25.437635846992922,30.0,1097.8969095883913,30.0,6.560540771282944,30.0,907.808127600273,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",164.0,154.5,170.0,134.0,124.5
LOCA_023,23,% of 100 cm2 break area,23.csv,406,4050.0,30.0,54.157575023657486,30.0,8.39021457694243,30.0,91.18261029643398,20.0,19.577846220138877,30.0,11.4767601317924,30.0,56.67174346716358,30.0,42.36259460449219,30.0,25.40522798429896,30.0,1101.2634993352594,30.0,6.554657621032808,30.0,909.0632376910285,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",161.5,152.0,170.0,131.5,122.0
LOCA_024,24,% of 100 cm2 break area,24.csv,404,4030.0,30.0,54.725742400629464,30.0,8.371182032176115,30.0,91.18261029643398,20.0,19.63712258034111,30.0,11.484476998538634,30.0,56.66608011696987,30.0,42.28926086425781,30.0,25.34200325323755,30.0,1104.6348574539936,30.0,6.543548655756015,30.0,909.8369018997842,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",159.5,150.0,160.0,129.5,120.0
LOCA_025,25,% of 100 cm2 break area,25.csv,401,4000.0,30.0,55.33437505121332,30.0,8.35377241758367,30.0,91.18261029643398,20.0,19.73508075442785,30.0,11.491909090606393,30.0,56.65567431523526,30.0,42.29576110839844,30.0,25.347571733380246,30.0,1107.9932217593923,30.0,6.54450179183006,30.0,910.444465223546,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",157.5,148.0,160.0,127.5,118.0
LOCA_026,26,% of 100 cm2 break area,26.csv,396,3950.0,30.0,56.473639084694845,30.0,8.341005366882545,30.0,91.18261029643398,20.0,19.857385007423257,30.0,11.497284601463043,30.0,56.65664119975878,30.0,42.30718994140625,30.0,25.35741745189346,30.0,1109.7826725114987,30.0,6.54621743676334,30.0,913.1233559200784,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",156.0,146.5,160.0,126.0,116.5
LOCA_027,27,% of 100 cm2 break area,27.csv,388,3870.0,30.0,57.46221450196507,30.0,8.327717011337691,30.0,91.18261029643398,20.0,19.91146446257813,30.0,11.50243564490019,30.0,56.64613737783685,30.0,42.259429931640625,30.0,25.315993954682714,30.0,1112.1742494210155,30.0,6.538723815215693,30.0,915.3656150822953,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",154.0,145.0,160.0,124.0,115.0
LOCA_028,28,% of 100 cm2 break area,28.csv,386,3850.0,30.0,58.30364882246397,30.0,8.31514667944552,30.0,91.18261029643398,20.0,20.009871801574796,30.0,11.50741470896916,30.0,56.645460922414706,30.0,42.26799011230469,30.0,25.32361458692772,30.0,1114.4635447540013,30.0,6.540288273047585,30.0,918.9003981484716,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",152.5,143.5,160.0,122.5,113.5
LOCA_029,29,% of 100 cm2 break area,29.csv,389,3880.0,30.0,59.133130504849795,30.0,8.302812410124094,30.0,91.18261029643398,20.0,20.128743630183916,30.0,11.512223176071304,30.0,56.64013640484313,30.0,42.245452880859375,30.0,25.303946207790084,30.0,1116.407252335981,30.0,6.536607195796079,30.0,918.4745590602724,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",151.0,142.0,160.0,121.0,112.0
LOCA_030,30,% of 100 cm2 break area,30.csv,385,3840.0,30.0,59.95644941487519,30.0,8.295592829835476,30.0,91.18261029643398,20.0,20.156393417564384,30.0,11.51532662390613,30.0,56.63224522703463,30.0,42.14320373535156,30.0,25.215450030615088,30.0,1118.838645150581,30.0,6.520771990262485,30.0,919.9071791933451,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",150.0,141.0,150.0,120.0,111.0
LOCA_031,31,% of 100 cm2 break area,31.csv,377,3760.0,30.0,60.67092130208389,30.0,8.288461773010887,30.0,91.18261029643398,20.0,20.164113690851977,30.0,11.51839412930581,30.0,56.62609783099757,30.0,42.79974365234375,30.0,25.783515707783224,30.0,1121.458984700381,30.0,6.622323708937734,30.0,921.0471698588572,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",148.5,140.0,150.0,118.5,110.0
LOCA_032,32,% of 100 cm2 break area,32.csv,385,3840.0,30.0,61.23881145243296,30.0,8.28179300538734,30.0,91.18261029643398,20.0,19.981901565198893,30.0,11.521348752995102,30.0,56.62188662365181,30.0,42.768798828125,30.0,25.756687854176377,30.0,1124.858595422423,30.0,6.617459428283991,30.0,920.8456080794803,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",147.5,139.0,150.0,117.5,109.0
LOCA_033,33,% of 100 cm2 break area,33.csv,380,3790.0,30.0,61.881187244356575,30.0,8.274661948562752,30.0,91.18261029643398,20.0,20.153033395879994,30.0,11.524278968660527,30.0,56.61738619702679,30.0,42.753143310546875,30.0,25.743175931345597,30.0,1127.9998795986105,30.0,6.615066728070527,30.0,921.2281745980121,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",146.5,138.0,150.0,116.5,108.0
LOCA_034,34,% of 100 cm2 break area,34.csv,381,3800.0,30.0,62.48862757512866,30.0,8.267757118368461,30.0,91.18261029643398,20.0,20.158759913283834,30.0,11.527132245050712,30.0,56.613076964840545,30.0,42.76971435546875,30.0,25.757506409228412,30.0,1130.3958672521037,30.0,6.617643482146577,30.0,921.172978945016,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",145.5,137.0,150.0,115.5,107.0
LOCA_035,35,% of 100 cm2 break area,35.csv,378,3770.0,30.0,57.56859592517099,30.0,8.987865990426089,30.0,91.18261029643398,20.0,19.81054984483054,30.0,11.529888018945552,30.0,46.22605381802129,30.0,42.72271728515625,30.0,25.716843822347727,30.0,1138.4174608241,30.0,6.610360207870419,30.0,899.3781993312282,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",144.5,136.0,150.0,114.5,106.0
LOCA_036,36,% of 100 cm2 break area,36.csv,376,3750.0,30.0,64.06794593914027,30.0,8.405794706611601,30.0,91.18261029643398,20.0,20.28461189867226,30.0,11.532618088815257,30.0,56.60978665814179,30.0,42.62751770019531,30.0,25.634550217257168,30.0,1135.2200290691871,30.0,6.59572792579578,30.0,923.5943927127677,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",143.5,135.0,150.0,113.5,105.0
LOCA_037,37,% of 100 cm2 break area,37.csv,381,3800.0,30.0,64.22235871476363,30.0,8.491475583851589,30.0,91.18261029643398,20.0,20.19906006163485,30.0,11.534688753240134,30.0,56.603494046224576,30.0,42.60905456542969,30.0,25.618444281937567,30.0,1138.8726019187336,30.0,6.592717330472246,30.0,920.4227497621133,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",142.5,134.5,150.0,112.5,104.5
LOCA_038,38,% of 100 cm2 break area,38.csv,378,3770.0,30.0,64.79344801127434,30.0,8.80866499140929,30.0,91.18261029643398,20.0,20.235423648267847,30.0,11.536747883253735,30.0,56.60078337992961,30.0,42.58235168457031,30.0,25.595386393147816,30.0,1140.8840203812138,30.0,6.5886484254389,30.0,920.1617781364947,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",141.5,133.5,150.0,111.5,103.5
LOCA_039,39,% of 100 cm2 break area,39.csv,380,3790.0,30.0,65.3184514483938,30.0,9.118506951452552,30.0,91.18261029643398,20.0,20.261093087672318,30.0,11.537829396311334,30.0,56.593861506288874,30.0,42.678558349609375,30.0,25.67863690062315,30.0,1143.262961105285,30.0,6.603530494898473,30.0,919.4794899715259,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",141.0,133.0,150.0,111.0,103.0
LOCA_040,40,% of 100 cm2 break area,40.csv,374,3730.0,30.0,65.8300695009597,30.0,9.432224272032212,30.0,91.18261029643398,20.0,20.284292790467592,30.0,11.539098224752108,30.0,56.58408376110881,30.0,42.553466796875,30.0,25.57035705486659,30.0,1145.9589985584619,30.0,6.584132532453612,30.0,919.1258060945061,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",140.5,132.5,150.0,110.5,102.5
LOCA_041,41,% of 100 cm2 break area,41.csv,376,3750.0,30.0,66.33785054079799,30.0,9.743659654428003,30.0,91.18261029643398,20.0,20.304943649997902,30.0,11.54154866074836,30.0,56.58190554949584,30.0,42.623626708984375,30.0,25.631045418161154,30.0,1148.2612877047832,30.0,6.594958843584309,30.0,918.9304114271957,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",139.5,131.5,140.0,109.5,101.5
LOCA_042,42,% of 100 cm2 break area,42.csv,370,3690.0,30.0,66.84063659475817,30.0,10.052026223404107,30.0,91.18261029643398,20.0,20.32878961394716,30.0,11.54278029395276,30.0,56.580453401330004,30.0,42.544830322265625,30.0,25.562932414676318,30.0,1150.2581626330714,30.0,6.582857302120051,30.0,918.6619364818962,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",139.0,131.0,140.0,109.0,101.0
LOCA_043,43,% of 100 cm2 break area,43.csv,368,3670.0,30.0,57.999023377220844,30.0,14.495225437787882,30.0,91.18261029643398,20.0,19.178651241641475,30.0,11.54397343591952,50.0,27.68095550359527,30.0,46.331695556640625,30.0,28.840138619415825,30.0,1155.816653717557,30.0,7.169239761576613,30.0,899.3516807493418,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",53.0,45.0,140.0,23.0,15.0
LOCA_044,44,% of 100 cm2 break area,44.csv,371,3700.0,30.0,67.79714449709078,30.0,10.638671219526781,30.0,91.18261029643398,20.0,20.367681931983483,30.0,11.545144761864947,30.0,56.57416079473068,30.0,42.55474853515625,30.0,25.57146383352852,30.0,1154.571512613983,30.0,6.5843231596684335,30.0,918.0172677005337,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",137.5,130.0,140.0,107.5,100.0
LOCA_045,45,% of 100 cm2 break area,45.csv,363,3620.0,30.0,68.26003935734845,30.0,10.922575804609435,30.0,91.18261029643398,20.0,20.385919368117182,30.0,11.54631219980657,30.0,56.57186156899793,30.0,42.549652099609375,30.0,25.56708283465845,30.0,1156.2094483500393,30.0,6.5835869442181245,30.0,917.8093332386879,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",137.0,129.5,140.0,107.0,99.5
LOCA_046,46,% of 100 cm2 break area,46.csv,365,3640.0,30.0,68.71749517846476,30.0,11.203146005880319,30.0,91.18261029643398,20.0,20.404833903592703,30.0,11.547446330515625,30.0,56.56963495386421,30.0,42.53916931152344,30.0,25.557998026475275,30.0,1156.8578277145523,30.0,6.581943606159427,30.0,917.6191806166343,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",136.5,129.0,140.0,106.5,99.0
LOCA_047,47,% of 100 cm2 break area,47.csv,354,3530.0,30.0,69.7761107980113,30.0,11.852554137999817,30.0,91.18261029643398,20.0,20.62045987617182,30.0,11.54853298437825,30.0,56.57904966732072,30.0,42.56236267089844,30.0,25.57815062127752,30.0,1158.847311666448,30.0,6.585631256763144,30.0,923.478964931921,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",136.0,128.5,140.0,106.0,98.5
LOCA_048,48,% of 100 cm2 break area,48.csv,352,3510.0,30.0,69.61545183670734,30.0,11.753889819368855,30.0,91.18261029643398,20.0,20.37146698434383,30.0,11.549623483044636,30.0,56.56573716755808,30.0,44.82698059082031,30.0,27.53770224218369,30.0,1161.2626112259993,30.0,6.935971210820671,30.0,917.3069191756617,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",135.5,128.0,140.0,105.5,98.0
LOCA_049,49,% of 100 cm2 break area,49.csv,347,3460.0,30.0,70.03197134428612,30.0,12.009368536557632,30.0,91.18261029643398,20.0,20.459532804086034,30.0,11.550688320885929,30.0,56.56382518062717,30.0,44.365203857421875,30.0,27.138178203124067,30.0,1160.861114314861,30.0,6.8645714588464095,30.0,917.2482288258279,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",135.0,127.5,140.0,105.0,97.5
LOCA_050,50,% of 100 cm2 break area,50.csv,343,3420.0,30.0,70.47208210147397,30.0,12.279335594025886,30.0,91.18261029643398,20.0,20.43469331417184,30.0,11.550696010493448,30.0,56.561309346214195,30.0,46.04872131347656,30.0,28.594917972137097,30.0,1163.3471049873297,30.0,7.1250405411499065,30.0,917.1571611376444,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",134.5,127.5,140.0,104.5,97.5
LOCA_051,51,% of 100 cm2 break area,51.csv,348,3470.0,30.0,70.87142337176464,30.0,12.52903077823141,30.0,91.18261029643398,20.0,20.447173394713854,30.0,11.551744173118434,30.0,56.55939735928328,30.0,46.835968017578125,30.0,29.276117180651962,30.0,1164.9520197482123,30.0,7.246844758060539,30.0,916.1515107299831,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",134.0,127.0,140.0,104.0,97.0
LOCA_052,52,% of 100 cm2 break area,52.csv,341,3400.0,30.0,66.75177932878577,30.0,14.109253298679347,30.0,91.18261029643398,20.0,20.389251233195274,30.0,11.552767970919595,30.0,51.29296372544819,30.0,47.97834777832031,30.0,30.264608873067566,30.0,1162.539819630374,30.0,7.423582479597287,30.0,975.7352695318989,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",133.5,126.5,140.0,103.5,96.5
LOCA_053,53,% of 100 cm2 break area,53.csv,339,3380.0,30.0,65.32415790082626,30.0,16.454603790614073,30.0,91.18261029643398,20.0,19.71720265022209,30.0,11.55377124870069,30.0,40.9665951091918,30.0,49.11651611328125,30.0,31.24944589011,30.0,1164.8181477080675,30.0,7.599636572501641,30.0,939.7776142719495,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",133.0,126.0,140.0,103.0,96.0
LOCA_054,54,% of 100 cm2 break area,54.csv,341,3400.0,30.0,71.92469072548882,30.0,13.352220306181023,30.0,91.18261029643398,20.0,20.544129998091005,30.0,11.553795613524516,30.0,56.53100799771571,30.0,48.023590087890625,30.0,30.303715052454965,30.0,1167.4984495340855,30.0,7.430537086261693,30.0,915.5469281770535,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",133.0,126.0,140.0,103.0,96.0
LOCA_055,55,% of 100 cm2 break area,55.csv,337,3360.0,30.0,72.2964957867932,30.0,13.642813330768119,30.0,91.18261029643398,20.0,20.562616821309014,30.0,11.554783468890527,30.0,56.529168621383825,30.0,47.982177734375,30.0,30.267871564331333,30.0,1167.3303644258003,30.0,7.424101774423847,30.0,915.5980124220052,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",132.5,125.5,140.0,102.5,95.5
