window_s,input_group,model,eval_split,n_samples,n_features,accuracy,macro_f1,balanced_accuracy,train_majority_class
30,C_without_SLBIC_initial,logistic_regression,test,123,120,0.2764227642276423,0.19275498978469274,0.2727272727272727,
30,C_without_SLBIC_initial,random_forest,validation,121,120,0.2809917355371901,0.19586894586894588,0.27499999999999997,
30,C_without_SLBIC_initial,random_forest,test,123,120,0.2764227642276423,0.19275498978469274,0.2727272727272727,
30,C_without_SLBIC_initial,hist_gradient_boosting,validation,121,120,0.2809917355371901,0.19586894586894588,0.27499999999999997,
30,C_without_SLBIC_initial,hist_gradient_boosting,test,123,120,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,A_strict_38,naive_majority,validation,121,190,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
60,A_strict_38,naive_majority,test,123,190,0.08130081300813008,0.012531328320802004,0.08333333333333333,FLB
60,A_strict_38,logistic_regression,validation,121,190,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,A_strict_38,logistic_regression,test,123,190,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,A_strict_38,random_forest,validation,121,190,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,A_strict_38,random_forest,test,123,190,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,A_strict_38,hist_gradient_boosting,validation,121,190,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,A_strict_38,hist_gradient_boosting,test,123,190,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,B_without_potential_leakage,naive_majority,validation,121,185,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
60,B_without_potential_leakage,naive_majority,test,123,185,0.08130081300813008,0.012531328320802004,0.08333333333333333,FLB
60,B_without_potential_leakage,logistic_regression,validation,121,185,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,B_without_potential_leakage,logistic_regression,test,123,185,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,B_without_potential_leakage,random_forest,validation,121,185,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,B_without_potential_leakage,random_forest,test,123,185,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,B_without_potential_leakage,hist_gradient_boosting,validation,121,185,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,B_without_potential_leakage,hist_gradient_boosting,test,123,185,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,C_without_SLBIC_initial,naive_majority,validation,121,120,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
60,C_without_SLBIC_initial,naive_majority,test,123,120,0.08130081300813008,0.012531328320802004,0.08333333333333333,FLB
60,C_without_SLBIC_initial,logistic_regression,validation,121,120,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,C_without_SLBIC_initial,logistic_regression,test,123,120,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,C_without_SLBIC_initial,random_forest,validation,121,120,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,C_without_SLBIC_initial,random_forest,test,123,120,0.2764227642276423,0.19275498978469274,0.2727272727272727,
60,C_without_SLBIC_initial,hist_gradient_boosting,validation,121,120,0.2809917355371901,0.19586894586894588,0.27499999999999997,
60,C_without_SLBIC_initial,hist_gradient_boosting,test,123,120,0.2764227642276423,0.19275498978469274,0.2727272727272727,
120,A_strict_38,naive_majority,validation,119,190,0.08403361344537816,0.012919896640826873,0.08333333333333333,FLB
120,A_strict_38,naive_majority,test,121,190,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
120,A_strict_38,logistic_regression,validation,119,190,0.7226890756302521,0.7022599525119837,0.7265151515151516,
120,A_strict_38,logistic_regression,test,121,190,0.7272727272727273,0.711920631461331,0.7303030303030303,
120,A_strict_38,random_forest,validation,119,190,0.8151260504201681,0.7757366902103744,0.8174242424242424,
120,A_strict_38,random_forest,test,121,190,0.7851239669421488,0.7488484378142246,0.7848484848484848,
120,A_strict_38,hist_gradient_boosting,validation,119,190,0.8151260504201681,0.7749582289055974,0.8166666666666668,
120,A_strict_38,hist_gradient_boosting,test,121,190,0.7933884297520661,0.7525839962224402,0.7924242424242424,
120,B_without_potential_leakage,naive_majority,validation,119,185,0.08403361344537816,0.012919896640826873,0.08333333333333333,FLB
120,B_without_potential_leakage,naive_majority,test,121,185,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
120,B_without_potential_leakage,logistic_regression,validation,119,185,0.7226890756302521,0.7022599525119837,0.7265151515151516,
120,B_without_potential_leakage,logistic_regression,test,121,185,0.7272727272727273,0.711920631461331,0.7303030303030303,
120,B_without_potential_leakage,random_forest,validation,119,185,0.8319327731092437,0.7916666666666666,0.8333333333333334,
120,B_without_potential_leakage,random_forest,test,121,185,0.7851239669421488,0.7488484378142246,0.7848484848484848,
120,B_without_potential_leakage,hist_gradient_boosting,validation,119,185,0.8151260504201681,0.7749582289055974,0.8166666666666668,
120,B_without_potential_leakage,hist_gradient_boosting,test,121,185,0.7933884297520661,0.7525839962224402,0.7924242424242424,
120,C_without_SLBIC_initial,naive_majority,validation,119,120,0.08403361344537816,0.012919896640826873,0.08333333333333333,FLB
120,C_without_SLBIC_initial,naive_majority,test,121,120,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
120,C_without_SLBIC_initial,logistic_regression,validation,119,120,0.7058823529411765,0.6879103530230655,0.7098484848484848,
120,C_without_SLBIC_initial,logistic_regression,test,121,120,0.7107438016528925,0.6990936034169116,0.7151515151515152,
120,C_without_SLBIC_initial,random_forest,validation,119,120,0.8235294117647058,0.7833124477861318,0.8250000000000001,
120,C_without_SLBIC_initial,random_forest,test,121,120,0.7768595041322314,0.7393455138376163,0.7765151515151515,
120,C_without_SLBIC_initial,hist_gradient_boosting,validation,119,120,0.7983193277310925,0.7597235843231266,0.8007575757575758,
120,C_without_SLBIC_initial,hist_gradient_boosting,test,121,120,0.7933884297520661,0.7538043827517512,0.7931818181818181,
