split_type,split_id,seed,sample_id,accident_class,severity,severity_definition,partition,severity_source
random,seed_20260921,20260921,SLBIC_61,SLBIC,61.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_62,SLBIC,62.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_4,LOCA,4.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_94,FLB,94.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_62,LOCA,62.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_71,SGATR,71.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_35,LOCAC,35.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_33,FLB,33.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_51,LOCA,51.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_78,SLBIC,78.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_1,LOCAC,1.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_66,LOCA,66.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_50,FLB,50.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_39,SLBIC,39.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_91,SGATR,91.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_60,LOCAC,60.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_69,SGBTR,69.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_64,LOCAC,64.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_60,SGATR,60.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-19,RI,-19.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_13,FLB,13.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_78,LOCAC,78.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-2,RI,-2.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_99,SGBTR,99.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_22,LOCAC,22.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_88,SLBIC,88.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_54,FLB,54.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_88,LR,88.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_82,SGBTR,82.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-11,RI,-11.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_72,LOCAC,72.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_51,LOCAC,51.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_75,LOCAC,75.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-26,RI,-26.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_103,SGBTR,103.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_90,FLB,90.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_35,FLB,35.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_70,FLB,70.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_17,FLB,17.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_57,LOCA,57.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_31,FLB,31.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_76,FLB,76.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RW_3,RW,3.0,% of rods withdrawn,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_51,SLBIC,51.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_76,LOCA,76.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_14,LOCA,14.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_94,LR,94.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_76,SGBTR,76.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_47,LOCAC,47.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_22,FLB,22.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_33,LOCA,33.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_45,SLBIC,45.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_23,LOCAC,23.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_21,SLBIC,21.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_48,SLBIC,48.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_98,SGATR,98.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-23,RI,-23.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_45,LOCAC,45.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_81,LR,81.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_14,SLBIC,14.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_15,LOCAC,15.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_76,SLBIC,76.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_89,SGBTR,89.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-27,RI,-27.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_37,LOCA,37.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_11,LOCAC,11.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_32,FLB,32.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_84,SGBTR,84.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,RW_1,RW,1.0,% of rods withdrawn,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_29,SLBIC,29.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_59,SGATR,59.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_21,FLB,21.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_86,SLBIC,86.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_7,LOCAC,7.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_80,SGATR,80.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_68,FLB,68.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_63,SGATR,63.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_56,FLB,56.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_11,LOCA,11.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_44,LOCA,44.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_51,FLB,51.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_36,SLBIC,36.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_81,SLBIC,81.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_85,SLBIC,85.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_105,SGBTR,105.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_34,LOCA,34.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_60,LOCA,60.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_98,SLBIC,98.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_49,SLBIC,49.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-16,RI,-16.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_59,FLB,59.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_74,LR,74.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_9,LOCA,9.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_34,LOCAC,34.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_89,SGATR,89.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_65,LOCA,65.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_37,LOCAC,37.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_77,SGBTR,77.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_35,LOCA,35.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_87,LR,87.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_27,LOCA,27.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_2,LOCA,2.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_43,SLBIC,43.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_75,SLBIC,75.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_70,SLBIC,70.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-31,RI,-31.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_11,FLB,11.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-28,RI,-28.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_80,SLBIC,80.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_56,LOCAC,56.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_50,SLBIC,50.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_100,SLBIC,100.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_99,FLB,99.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_79,LOCAC,79.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_62,SGATR,62.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_72,LOCA,72.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_30,SLBIC,30.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_53,SLBIC,53.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_15,LOCA,15.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_7,LOCA,7.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_60,SGBTR,60.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_76,LOCAC,76.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-14,RI,-14.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_48,LOCAC,48.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_65,FLB,65.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_96,LR,96.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_85,LR,85.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_74,LOCAC,74.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_32,LOCAC,32.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_94,SGATR,94.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_37,FLB,37.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_87,SGBTR,87.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_83,SLBIC,83.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_5,FLB,5.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_82,SLBIC,82.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_55,LOCA,55.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_70,LOCAC,70.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_28,FLB,28.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_72,LR,72.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_90,LR,90.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_5,LOCAC,5.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_63,SGBTR,63.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_53,FLB,53.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_73,SGBTR,73.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_93,FLB,93.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_74,FLB,74.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-32,RI,-32.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_30,LOCAC,30.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_77,LR,77.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_64,LOCA,64.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_54,LOCA,54.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_26,FLB,26.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_106,SGBTR,106.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_97,FLB,97.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_73,SLBIC,73.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_26,SLBIC,26.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_8,LOCA,8.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_42,LOCAC,42.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_82,LR,82.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_36,LOCA,36.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_28,SLBIC,28.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_20,SLBIC,20.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_59,SLBIC,59.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_43,FLB,43.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_80,SGBTR,80.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_80,FLB,80.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_67,FLB,67.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_46,FLB,46.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_96,SGATR,96.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_83,LR,83.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,LR_98,LR,98.0,% of full load rejected,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_93,SGBTR,93.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_107,SGBTR,107.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_61,SGBTR,61.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_94,SLBIC,94.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_71,SGBTR,71.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-18,RI,-18.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_97,SGBTR,97.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_45,LOCA,45.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
