sample_id,accident_class,split,window_s,first_protection_s,protection_time_known,strict_pre_protection,sample_count,first_sample_s,last_sample_s,sample_points_s
FLB_5,FLB,train,10,1263.5,True,True,1,10.0,10.0,10
FLB_50,FLB,train,10,222.0,True,True,1,10.0,10.0,10
FLB_51,FLB,test,10,219.5,True,True,1,10.0,10.0,10
FLB_52,FLB,validation,10,217.5,True,True,1,10.0,10.0,10
FLB_53,FLB,train,10,215.5,True,True,1,10.0,10.0,10
FLB_54,FLB,train,10,213.5,True,True,1,10.0,10.0,10
FLB_55,FLB,train,10,211.5,True,True,1,10.0,10.0,10
FLB_56,FLB,train,10,209.5,True,True,1,10.0,10.0,10
FLB_57,FLB,train,10,207.5,True,True,1,10.0,10.0,10
FLB_58,FLB,train,10,206.0,True,True,1,10.0,10.0,10
FLB_59,FLB,train,10,204.5,True,True,1,10.0,10.0,10
FLB_6,FLB,train,10,1073.0,True,True,1,10.0,10.0,10
FLB_60,FLB,train,10,202.5,True,True,1,10.0,10.0,10
FLB_61,FLB,test,10,201.0,True,True,1,10.0,10.0,10
FLB_62,FLB,validation,10,199.5,True,True,1,10.0,10.0,10
FLB_63,FLB,train,10,198.0,True,True,1,10.0,10.0,10
FLB_64,FLB,train,10,196.5,True,True,1,10.0,10.0,10
FLB_65,FLB,train,10,195.0,True,True,1,10.0,10.0,10
FLB_66,FLB,train,10,194.0,True,True,1,10.0,10.0,10
FLB_67,FLB,train,10,192.5,True,True,1,10.0,10.0,10
FLB_68,FLB,train,10,191.0,True,True,1,10.0,10.0,10
FLB_69,FLB,train,10,190.0,True,True,1,10.0,10.0,10
FLB_7,FLB,train,10,938.5,True,True,1,10.0,10.0,10
FLB_70,FLB,train,10,189.0,True,True,1,10.0,10.0,10
FLB_71,FLB,test,10,187.5,True,True,1,10.0,10.0,10
FLB_72,FLB,validation,10,186.5,True,True,1,10.0,10.0,10
FLB_73,FLB,train,10,185.5,True,True,1,10.0,10.0,10
FLB_74,FLB,train,10,184.5,True,True,1,10.0,10.0,10
FLB_75,FLB,train,10,183.5,True,True,1,10.0,10.0,10
FLB_76,FLB,train,10,182.5,True,True,1,10.0,10.0,10
FLB_77,FLB,train,10,181.5,True,True,1,10.0,10.0,10
FLB_78,FLB,train,10,180.5,True,True,1,10.0,10.0,10
FLB_79,FLB,train,10,179.5,True,True,1,10.0,10.0,10
FLB_8,FLB,train,10,830.5,True,True,1,10.0,10.0,10
FLB_80,FLB,train,10,178.5,True,True,1,10.0,10.0,10
FLB_81,FLB,test,10,177.5,True,True,1,10.0,10.0,10
FLB_82,FLB,validation,10,176.5,True,True,1,10.0,10.0,10
FLB_83,FLB,train,10,176.0,True,True,1,10.0,10.0,10
FLB_84,FLB,train,10,175.0,True,True,1,10.0,10.0,10
FLB_85,FLB,train,10,174.0,True,True,1,10.0,10.0,10
FLB_86,FLB,train,10,173.5,True,True,1,10.0,10.0,10
FLB_87,FLB,train,10,172.5,True,True,1,10.0,10.0,10
FLB_88,FLB,train,10,172.0,True,True,1,10.0,10.0,10
FLB_89,FLB,train,10,171.0,True,True,1,10.0,10.0,10
FLB_9,FLB,train,10,751.0,True,True,1,10.0,10.0,10
FLB_90,FLB,train,10,170.5,True,True,1,10.0,10.0,10
FLB_91,FLB,test,10,169.5,True,True,1,10.0,10.0,10
FLB_92,FLB,validation,10,169.0,True,True,1,10.0,10.0,10
FLB_93,FLB,train,10,168.5,True,True,1,10.0,10.0,10
FLB_94,FLB,train,10,167.5,True,True,1,10.0,10.0,10
FLB_95,FLB,train,10,167.0,True,True,1,10.0,10.0,10
FLB_96,FLB,train,10,166.5,True,True,1,10.0,10.0,10
FLB_97,FLB,train,10,166.0,True,True,1,10.0,10.0,10
FLB_98,FLB,train,10,165.0,True,True,1,10.0,10.0,10
FLB_99,FLB,train,10,164.5,True,True,1,10.0,10.0,10
LLB_1,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_10,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_100,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_101,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_11,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_12,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_13,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_14,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_15,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_16,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_17,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_18,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_19,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_2,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_20,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_21,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_22,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_23,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_24,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_25,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_26,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_27,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_28,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_29,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_3,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_30,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_31,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_32,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_33,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_34,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_35,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_36,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_37,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_38,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_39,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_4,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_40,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_41,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_42,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_43,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_44,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_45,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_46,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_47,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_48,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_49,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_5,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_50,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_51,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_52,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_53,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_54,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_55,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_56,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_57,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_58,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_59,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_6,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_60,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_61,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_62,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_63,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_64,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_65,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_66,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_67,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_68,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_69,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_7,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_70,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_71,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_72,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_73,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_74,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_75,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_76,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_77,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_78,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_79,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_8,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_80,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_81,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_82,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_83,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_84,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_85,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_86,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_87,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_88,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_89,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_9,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_90,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_91,LLB,test,10,,False,False,1,10.0,10.0,10
LLB_92,LLB,validation,10,,False,False,1,10.0,10.0,10
LLB_93,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_94,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_95,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_96,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_97,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_98,LLB,train,10,,False,False,1,10.0,10.0,10
LLB_99,LLB,train,10,,False,False,1,10.0,10.0,10
LOCAC_1,LOCAC,test,10,2521.5,True,True,1,10.0,10.0,10
LOCAC_10,LOCAC,train,10,224.0,True,True,1,10.0,10.0,10
LOCAC_100,LOCAC,train,10,118.0,True,True,1,10.0,10.0,10
LOCAC_11,LOCAC,test,10,211.5,True,True,1,10.0,10.0,10
LOCAC_12,LOCAC,validation,10,201.0,True,True,1,10.0,10.0,10
LOCAC_13,LOCAC,train,10,192.5,True,True,1,10.0,10.0,10
LOCAC_14,LOCAC,train,10,185.5,True,True,1,10.0,10.0,10
LOCAC_15,LOCAC,train,10,179.5,True,True,1,10.0,10.0,10
LOCAC_16,LOCAC,train,10,174.5,True,True,1,10.0,10.0,10
LOCAC_17,LOCAC,train,10,170.0,True,True,1,10.0,10.0,10
LOCAC_18,LOCAC,train,10,166.0,True,True,1,10.0,10.0,10
LOCAC_19,LOCAC,train,10,162.5,True,True,1,10.0,10.0,10
LOCAC_2,LOCAC,validation,10,1299.0,True,True,1,10.0,10.0,10
LOCAC_20,LOCAC,train,10,159.5,True,True,1,10.0,10.0,10
LOCAC_21,LOCAC,test,10,157.0,True,True,1,10.0,10.0,10
LOCAC_22,LOCAC,validation,10,154.5,True,True,1,10.0,10.0,10
LOCAC_23,LOCAC,train,10,152.5,True,True,1,10.0,10.0,10
LOCAC_24,LOCAC,train,10,150.5,True,True,1,10.0,10.0,10
LOCAC_25,LOCAC,train,10,148.5,True,True,1,10.0,10.0,10
LOCAC_26,LOCAC,train,10,463.5,True,True,1,10.0,10.0,10
LOCAC_27,LOCAC,train,10,145.5,True,True,1,10.0,10.0,10
LOCAC_28,LOCAC,train,10,144.0,True,True,1,10.0,10.0,10
LOCAC_29,LOCAC,train,10,142.5,True,True,1,10.0,10.0,10
LOCAC_3,LOCAC,train,10,917.0,True,True,1,10.0,10.0,10
LOCAC_30,LOCAC,train,10,416.5,True,True,1,10.0,10.0,10
LOCAC_31,LOCAC,test,10,140.0,True,True,1,10.0,10.0,10
LOCAC_32,LOCAC,validation,10,139.0,True,True,1,10.0,10.0,10
LOCAC_33,LOCAC,train,10,138.0,True,True,1,10.0,10.0,10
LOCAC_34,LOCAC,train,10,137.0,True,True,1,10.0,10.0,10
LOCAC_35,LOCAC,train,10,136.5,True,True,1,10.0,10.0,10
LOCAC_36,LOCAC,train,10,135.5,True,True,1,10.0,10.0,10
LOCAC_37,LOCAC,train,10,134.5,True,True,1,10.0,10.0,10
LOCAC_38,LOCAC,train,10,134.0,True,True,1,10.0,10.0,10
LOCAC_39,LOCAC,train,10,133.5,True,True,1,10.0,10.0,10
LOCAC_4,LOCAC,train,10,569.5,True,True,1,10.0,10.0,10
LOCAC_40,LOCAC,train,10,132.5,True,True,1,10.0,10.0,10
LOCAC_41,LOCAC,test,10,132.0,True,True,1,10.0,10.0,10
LOCAC_42,LOCAC,validation,10,131.5,True,True,1,10.0,10.0,10
LOCAC_43,LOCAC,train,10,131.0,True,True,1,10.0,10.0,10
LOCAC_44,LOCAC,train,10,130.5,True,True,1,10.0,10.0,10
LOCAC_45,LOCAC,train,10,130.0,True,True,1,10.0,10.0,10
LOCAC_46,LOCAC,train,10,129.5,True,True,1,10.0,10.0,10
LOCAC_47,LOCAC,train,10,129.0,True,True,1,10.0,10.0,10
LOCAC_48,LOCAC,train,10,128.5,True,True,1,10.0,10.0,10
LOCAC_49,LOCAC,train,10,128.0,True,True,1,10.0,10.0,10
LOCAC_5,LOCAC,train,10,418.0,True,True,1,10.0,10.0,10
LOCAC_50,LOCAC,train,10,127.5,True,True,1,10.0,10.0,10
LOCAC_51,LOCAC,test,10,127.0,True,True,1,10.0,10.0,10
LOCAC_52,LOCAC,validation,10,127.0,True,True,1,10.0,10.0,10
LOCAC_53,LOCAC,train,10,126.5,True,True,1,10.0,10.0,10
LOCAC_54,LOCAC,train,10,126.0,True,True,1,10.0,10.0,10
LOCAC_55,LOCAC,train,10,125.5,True,True,1,10.0,10.0,10
LOCAC_56,LOCAC,train,10,125.5,True,True,1,10.0,10.0,10
LOCAC_57,LOCAC,train,10,125.0,True,True,1,10.0,10.0,10
LOCAC_58,LOCAC,train,10,125.0,True,True,1,10.0,10.0,10
LOCAC_59,LOCAC,train,10,124.5,True,True,1,10.0,10.0,10
LOCAC_6,LOCAC,train,10,340.5,True,True,1,10.0,10.0,10
LOCAC_60,LOCAC,train,10,124.0,True,True,1,10.0,10.0,10
LOCAC_61,LOCAC,test,10,124.0,True,True,1,10.0,10.0,10
LOCAC_62,LOCAC,validation,10,123.5,True,True,1,10.0,10.0,10
LOCAC_63,LOCAC,train,10,123.5,True,True,1,10.0,10.0,10
LOCAC_64,LOCAC,train,10,123.0,True,True,1,10.0,10.0,10
LOCAC_65,LOCAC,train,10,123.0,True,True,1,10.0,10.0,10
LOCAC_66,LOCAC,train,10,122.5,True,True,1,10.0,10.0,10
LOCAC_67,LOCAC,train,10,122.5,True,True,1,10.0,10.0,10
LOCAC_68,LOCAC,train,10,122.0,True,True,1,10.0,10.0,10
LOCAC_69,LOCAC,train,10,122.0,True,True,1,10.0,10.0,10
LOCAC_7,LOCAC,train,10,294.0,True,True,1,10.0,10.0,10
LOCAC_70,LOCAC,train,10,122.0,True,True,1,10.0,10.0,10
LOCAC_71,LOCAC,test,10,121.5,True,True,1,10.0,10.0,10
LOCAC_72,LOCAC,validation,10,121.5,True,True,1,10.0,10.0,10
LOCAC_73,LOCAC,train,10,121.5,True,True,1,10.0,10.0,10
LOCAC_74,LOCAC,train,10,121.0,True,True,1,10.0,10.0,10
LOCAC_75,LOCAC,train,10,121.0,True,True,1,10.0,10.0,10
LOCAC_76,LOCAC,train,10,121.0,True,True,1,10.0,10.0,10
LOCAC_77,LOCAC,train,10,120.5,True,True,1,10.0,10.0,10
LOCAC_78,LOCAC,train,10,120.5,True,True,1,10.0,10.0,10
LOCAC_79,LOCAC,train,10,120.5,True,True,1,10.0,10.0,10
LOCAC_8,LOCAC,train,10,263.0,True,True,1,10.0,10.0,10
LOCAC_80,LOCAC,train,10,120.0,True,True,1,10.0,10.0,10
LOCAC_81,LOCAC,test,10,120.0,True,True,1,10.0,10.0,10
LOCAC_82,LOCAC,validation,10,120.0,True,True,1,10.0,10.0,10
LOCAC_83,LOCAC,train,10,119.5,True,True,1,10.0,10.0,10
LOCAC_84,LOCAC,train,10,119.5,True,True,1,10.0,10.0,10
LOCAC_85,LOCAC,train,10,119.5,True,True,1,10.0,10.0,10
LOCAC_86,LOCAC,train,10,119.5,True,True,1,10.0,10.0,10
LOCAC_87,LOCAC,train,10,119.0,True,True,1,10.0,10.0,10
LOCAC_88,LOCAC,train,10,119.0,True,True,1,10.0,10.0,10
LOCAC_89,LOCAC,train,10,119.0,True,True,1,10.0,10.0,10
LOCAC_9,LOCAC,train,10,241.0,True,True,1,10.0,10.0,10
LOCAC_90,LOCAC,train,10,119.0,True,True,1,10.0,10.0,10
LOCAC_91,LOCAC,test,10,118.5,True,True,1,10.0,10.0,10
LOCAC_92,LOCAC,validation,10,118.5,True,True,1,10.0,10.0,10
LOCAC_93,LOCAC,train,10,118.5,True,True,1,10.0,10.0,10
LOCAC_94,LOCAC,train,10,118.5,True,True,1,10.0,10.0,10
LOCAC_95,LOCAC,train,10,118.5,True,True,1,10.0,10.0,10
LOCAC_96,LOCAC,train,10,118.0,True,True,1,10.0,10.0,10
LOCAC_97,LOCAC,train,10,118.0,True,True,1,10.0,10.0,10
LOCAC_98,LOCAC,train,10,118.0,True,True,1,10.0,10.0,10
LOCAC_99,LOCAC,train,10,118.0,True,True,1,10.0,10.0,10
LOCA_1,LOCA,test,10,2031.5,True,True,1,10.0,10.0,10
LOCA_10,LOCA,train,10,224.0,True,True,1,10.0,10.0,10
LOCA_100,LOCA,train,10,117.5,True,True,1,10.0,10.0,10
LOCA_11,LOCA,test,10,211.0,True,True,1,10.0,10.0,10
LOCA_12,LOCA,validation,10,200.5,True,True,1,10.0,10.0,10
LOCA_13,LOCA,train,10,192.0,True,True,1,10.0,10.0,10
LOCA_14,LOCA,train,10,185.0,True,True,1,10.0,10.0,10
LOCA_15,LOCA,train,10,179.0,True,True,1,10.0,10.0,10
LOCA_16,LOCA,train,10,174.0,True,True,1,10.0,10.0,10
LOCA_17,LOCA,train,10,169.5,True,True,1,10.0,10.0,10
LOCA_18,LOCA,train,10,166.0,True,True,1,10.0,10.0,10
LOCA_19,LOCA,train,10,162.5,True,True,1,10.0,10.0,10
LOCA_2,LOCA,validation,10,1094.5,True,True,1,10.0,10.0,10
LOCA_20,LOCA,train,10,159.5,True,True,1,10.0,10.0,10
LOCA_21,LOCA,test,10,156.5,True,True,1,10.0,10.0,10
LOCA_22,LOCA,validation,10,154.5,True,True,1,10.0,10.0,10
LOCA_23,LOCA,train,10,152.0,True,True,1,10.0,10.0,10
LOCA_24,LOCA,train,10,150.0,True,True,1,10.0,10.0,10
LOCA_25,LOCA,train,10,148.0,True,True,1,10.0,10.0,10
LOCA_26,LOCA,train,10,146.5,True,True,1,10.0,10.0,10
LOCA_27,LOCA,train,10,145.0,True,True,1,10.0,10.0,10
LOCA_28,LOCA,train,10,143.5,True,True,1,10.0,10.0,10
LOCA_29,LOCA,train,10,142.0,True,True,1,10.0,10.0,10
LOCA_3,LOCA,train,10,790.5,True,True,1,10.0,10.0,10
LOCA_30,LOCA,train,10,141.0,True,True,1,10.0,10.0,10
LOCA_31,LOCA,test,10,140.0,True,True,1,10.0,10.0,10
LOCA_32,LOCA,validation,10,139.0,True,True,1,10.0,10.0,10
LOCA_33,LOCA,train,10,138.0,True,True,1,10.0,10.0,10
LOCA_34,LOCA,train,10,137.0,True,True,1,10.0,10.0,10
LOCA_35,LOCA,train,10,136.0,True,True,1,10.0,10.0,10
LOCA_36,LOCA,train,10,135.0,True,True,1,10.0,10.0,10
LOCA_37,LOCA,train,10,134.5,True,True,1,10.0,10.0,10
LOCA_38,LOCA,train,10,133.5,True,True,1,10.0,10.0,10
LOCA_39,LOCA,train,10,133.0,True,True,1,10.0,10.0,10
LOCA_4,LOCA,train,10,569.0,True,True,1,10.0,10.0,10
LOCA_40,LOCA,train,10,132.5,True,True,1,10.0,10.0,10
LOCA_41,LOCA,test,10,131.5,True,True,1,10.0,10.0,10
LOCA_42,LOCA,validation,10,131.0,True,True,1,10.0,10.0,10
LOCA_43,LOCA,train,10,45.0,True,True,1,10.0,10.0,10
LOCA_44,LOCA,train,10,130.0,True,True,1,10.0,10.0,10
LOCA_45,LOCA,train,10,129.5,True,True,1,10.0,10.0,10
LOCA_46,LOCA,train,10,129.0,True,True,1,10.0,10.0,10
LOCA_47,LOCA,train,10,128.5,True,True,1,10.0,10.0,10
LOCA_48,LOCA,train,10,128.0,True,True,1,10.0,10.0,10
LOCA_49,LOCA,train,10,127.5,True,True,1,10.0,10.0,10
LOCA_5,LOCA,train,10,417.5,True,True,1,10.0,10.0,10
LOCA_50,LOCA,train,10,127.5,True,True,1,10.0,10.0,10
LOCA_51,LOCA,test,10,127.0,True,True,1,10.0,10.0,10
LOCA_52,LOCA,validation,10,126.5,True,True,1,10.0,10.0,10
LOCA_53,LOCA,train,10,126.0,True,True,1,10.0,10.0,10
LOCA_54,LOCA,train,10,126.0,True,True,1,10.0,10.0,10
LOCA_55,LOCA,train,10,125.5,True,True,1,10.0,10.0,10
LOCA_56,LOCA,train,10,125.0,True,True,1,10.0,10.0,10
LOCA_57,LOCA,train,10,125.0,True,True,1,10.0,10.0,10
LOCA_58,LOCA,train,10,124.5,True,True,1,10.0,10.0,10
LOCA_59,LOCA,train,10,124.0,True,True,1,10.0,10.0,10
LOCA_6,LOCA,train,10,340.0,True,True,1,10.0,10.0,10
LOCA_60,LOCA,train,10,124.0,True,True,1,10.0,10.0,10
LOCA_61,LOCA,test,10,123.5,True,True,1,10.0,10.0,10
LOCA_62,LOCA,validation,10,123.5,True,True,1,10.0,10.0,10
LOCA_63,LOCA,train,10,123.0,True,True,1,10.0,10.0,10
LOCA_64,LOCA,train,10,123.0,True,True,1,10.0,10.0,10
LOCA_65,LOCA,train,10,122.5,True,True,1,10.0,10.0,10
LOCA_66,LOCA,train,10,122.5,True,True,1,10.0,10.0,10
LOCA_67,LOCA,train,10,122.0,True,True,1,10.0,10.0,10
LOCA_68,LOCA,train,10,122.0,True,True,1,10.0,10.0,10
LOCA_69,LOCA,train,10,122.0,True,True,1,10.0,10.0,10
LOCA_7,LOCA,train,10,293.5,True,True,1,10.0,10.0,10
LOCA_70,LOCA,train,10,121.5,True,True,1,10.0,10.0,10
LOCA_71,LOCA,test,10,121.5,True,True,1,10.0,10.0,10
LOCA_72,LOCA,validation,10,121.0,True,True,1,10.0,10.0,10
LOCA_73,LOCA,train,10,121.0,True,True,1,10.0,10.0,10
LOCA_74,LOCA,train,10,121.0,True,True,1,10.0,10.0,10
LOCA_75,LOCA,train,10,120.5,True,True,1,10.0,10.0,10
LOCA_76,LOCA,train,10,120.5,True,True,1,10.0,10.0,10
LOCA_77,LOCA,train,10,120.5,True,True,1,10.0,10.0,10
LOCA_78,LOCA,train,10,120.0,True,True,1,10.0,10.0,10
LOCA_79,LOCA,train,10,120.0,True,True,1,10.0,10.0,10
LOCA_8,LOCA,train,10,262.5,True,True,1,10.0,10.0,10
LOCA_80,LOCA,train,10,120.0,True,True,1,10.0,10.0,10
LOCA_81,LOCA,test,10,119.5,True,True,1,10.0,10.0,10
LOCA_82,LOCA,validation,10,119.5,True,True,1,10.0,10.0,10
LOCA_83,LOCA,train,10,119.5,True,True,1,10.0,10.0,10
LOCA_84,LOCA,train,10,119.5,True,True,1,10.0,10.0,10
LOCA_85,LOCA,train,10,119.0,True,True,1,10.0,10.0,10
LOCA_86,LOCA,train,10,119.0,True,True,1,10.0,10.0,10
LOCA_87,LOCA,train,10,119.0,True,True,1,10.0,10.0,10
LOCA_88,LOCA,train,10,119.0,True,True,1,10.0,10.0,10
LOCA_89,LOCA,train,10,118.5,True,True,1,10.0,10.0,10
LOCA_9,LOCA,train,10,240.5,True,True,1,10.0,10.0,10
LOCA_90,LOCA,train,10,118.5,True,True,1,10.0,10.0,10
LOCA_91,LOCA,test,10,118.5,True,True,1,10.0,10.0,10
LOCA_92,LOCA,validation,10,118.5,True,True,1,10.0,10.0,10
LOCA_93,LOCA,train,10,118.0,True,True,1,10.0,10.0,10
LOCA_94,LOCA,train,10,118.0,True,True,1,10.0,10.0,10
LOCA_95,LOCA,train,10,118.0,True,True,1,10.0,10.0,10
LOCA_96,LOCA,train,10,118.0,True,True,1,10.0,10.0,10
